Seq,Inbred Line,Accesion N,accenumb,Breeding program,Pop structure,Year Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,,,,,Ped_line
756,A375,Ames23428,Ames 23428,Minnesota,unclassified,1,ReidYellowDent,ReidYellowDent,1,1,INBRED,0,,,,,LHEX644_2
787,A385,Ames23429,Ames 23429,Minnesota,unclassified,0,A39,H,0,0,0,0,,,,,LHEX644
790,A401,Ames23430,Ames 23430,Minnesota,unclassified,0,A347,K230,0,0,0,0,,,,,LH145_1
792,A407,Ames23431,Ames 23431,Minnesota,unclassified,0,A96,H,0,0,0,0,,,,,LH145_2
796,A422,Ames23433,Ames 23433,Minnesota,unclassified,0,A21,W283,0,0,0,0,,,,,LH145_3
797,A424,Ames23434,Ames 23434,Minnesota,unclassified,0,A2,LSR,0,0,0,0,,,,,LH145_4
801,A427,Ames23435,Ames 23435,Minnesota,unclassified,0,CC36 ,A405,0,0,0,0,,,,,LH145_5
807,A449,Ames23436,Ames 23436,Minnesota,unclassified,0,A322,A449_3,0,0,Inbred,0,,,,,
810,A450,Ames23437,Ames 23437,Minnesota,unclassified,0,A322,A450_2,0,0,Inbred,0,,,,,LH146HT_1
813,A451,Ames23438,Ames 23438,Minnesota,unclassified,0,A323,A451_2,0,0,Inbred,0,,,,,LH146HT_2
817,A480,Ames23439,Ames 23439,Minnesota,unclassified,0,A21, A163,0,0,Inbred,0,,,,,LH146HT_3
818,A495,Ames23440,Ames 23440,Minnesota,unclassified,0,A163, W283,0,0,Inbred,0,,,,,LH146HT_4
819,A497,Ames23441,Ames 23441,Minnesota,unclassified,0,A163, W283,0,0,Inbred,0,,,,,LH146HT_5
820,A498,Ames23442,Ames 23442,Minnesota,unclassified,0,A163, W283,0,0,Inbred,0,,,,,LH146HT_6
821,A499,Ames23443,Ames 23443,Minnesota,unclassified,0,A163, W283,0,0,Inbred,0,,,,,LH149_1
822,A500,Ames23444,Ames 23444,Minnesota,unclassified,0,A163, W283,0,0,Inbred,0,,,,,LH149_2
824,A502,Ames23445,Ames 23445,Minnesota,unclassified,0,A334,HaneysNo13,0,0,Inbred,0,,,,,P3147
825,A508,Ames23446,Ames 23446,Minnesota,unclassified,0,A357,HaneysNo13,0,0,Inbred,0,,,,,PA91_1
826,A509,Ames23447,Ames 23447,Minnesota,unclassified,1,A78 ,A109,2,2,Inbred,0,,,,,PA91_2
830,A547,Ames23448,Ames 23448,Minnesota,unclassified,0,A375,A547_1,0,0,Inbred,0,,,,,PA91_3
831,A548,Ames23449,Ames 23449,Minnesota,unclassified,0,A357,A547_1,0,0,Inbred,0,,,,,
835,A556,Ames23450,Ames 23450,Minnesota,unclassified,1,B164-886,A237,1,1,INBRED,0,,,,,Virginia Long Ear Synthetic
838,A572,Ames23451,Ames 23451,Minnesota,unclassified,0,A344,Morris13 ,0,0,Open Pollinated Population,Variant of Minn13?,,,,,EARLYMO17COMPOSITE
842,A575,Ames23452,Ames 23452,Minnesota,unclassified,0,A344, A396 ,0,0,0,0,,,,,W771
846,A588,Ames23455,Ames 23455,Minnesota,unclassified,0,A165,A588_1,0,0,0,0,,,,,W775
852,A617,Ames23456,Ames 23456,Minnesota,unclassified,0,A434,W22,0,0,0,0,,,,,Laguna
853,A618,Ames23457,Ames 23457,Minnesota,unclassified,0,A434 x W22 ,W22 ,0,0,0,0,,,,,Mo21A
856,A619HT,Ames23458,Ames 23458,Minnesota,non-stiff stalk,0,0,0,0,0,INBRED,ht1 version of A619,,,,,C.I.14
862,A622,Ames23459,Ames 23459,Minnesota,unclassified,0,A298,A622_2,0,0,INBRED,0,,,,,ILL.A
865,A624,Ames23460,Ames 23460,Minnesota,unclassified,0,A295 ,A624_1,0,0,BC1,0,,,,,ILL.B
867,A625,Ames23461,Ames 23461,Minnesota,unclassified,0,A165,A625_1,0,0,BC1,0,,,,,BEARDSLEYLEAMING
868,A627,Ames23463,Ames 23463,Minnesota,unclassified,0,A392,R61,0,0,INBRED,0,,,,,C112-1
870,A628,Ames23464,Ames 23464,Minnesota,unclassified,0,M14 x A206,Oh4c ,0,0,INBRED,0,,,,,OH920
872,A629,Ames23465,Ames 23465,Minnesota,unclassified,0,Wf9 ,A629_1,0,0,INBRED,0,,,,,OH28_1
876,A630,Ames23466,Ames 23466,Minnesota,unclassified,0,Wf9,A630_3,0,0,INBRED,0,,,,,OH28_2
880,A631,Ames23467,Ames 23467,Minnesota,unclassified,0,Wf9,A631_3,0,0,INBRED,0,,,,,
883,A632HT,Ames23468,Ames 23468,Other,unclassified,1,A632,HTn SOURCE,0,0,INBRED  LIKELY BC5 TO A632  HT SOURCE UNKNOWN,0,,,,,OH17
884,A632HTN,Ames23469,Ames 23469,Minnesota,stiff stalk,0,A632,0,0,0,0,0,,,,,OH51
885,A632RpRp,Ames23470,Ames 23470,Minnesota,stiff stalk,0,A632,0,0,0,0,0,,,,,OH51A_1
891,A633,Ames23471,Ames 23471,Minnesota,stiff stalk,0,B14,A633_3,0,0,BC3,0,,,,,
893,A635RpRp,Ames23473,Ames 23473,Minnesota,stiff stalk,0,0,0,0,0,0,0,,,,,H60_1
898,A636,Ames23474,Ames 23474,Minnesota,unclassified,0,B14,A636_3,0,0, ,0,,,,,H60_2
900,A637,Ames23475,Ames 23475,Minnesota,unclassified,0,CO106 ,A321 ,0,0,0,0,,,,,
901,A638,Ames23476,Ames 23476,Minnesota,unclassified,1,A638_2,WF9,2,4,INBRED,0,,,,,LHE136_1
903,A640,Ames23477,Ames 23477,Minnesota,unclassified,0,0,0,0,0,0,0,,,,,LHE137_1
906,A643,Ames23478,Ames 23478,Minnesota,unclassified,0,Iowa Synthetic A,0,0,0,0,0,,,,,LHE137
907,A644,Ames23479,Ames 23479,Minnesota,unclassified,0,Iowa Synthetic A,0,0,0,0,0,,,,,LHE136
908,A645,Ames23480,Ames 23480,Minnesota,unclassified,0,Minnesota Synthetic 3,0,0,0,0,0,,,,,LH1_1
909,A646,Ames23481,Ames 23481,Minnesota,unclassified,0,Minnesota Synthetic 3,0,0,0,0,0,,,,,
912,A649,Ames23482,Ames 23482,Minnesota,unclassified,0,A649_1,A321 ,0,0,0,0,,,,,LH117
913,A650,Ames23483,Ames 23483,Minnesota,unclassified,0,A649_1,A321 ,0,0,0,0,,,,,LH202_1
918,A651,Ames23484,Ames 23484,Minnesota,unclassified,0,A651_1, A73,0,0,0,0,,,,,LH202_2
919,A652,Ames23485,Ames 23485,Minnesota,stiff stalk,0,0,0,0,0,0,0,,,,,LH202_3
920,A653,Ames23486,Ames 23486,Minnesota,unclassified,0,A90, Wf9,0,0,0,0,,,,,
923,A655,Ames23487,Ames 23487,Minnesota,unclassified,0,A655_1,WF9,0,0,0,0,,,,,IllinoisSynthetic
924,A656,Ames23488,Ames 23488,Minnesota,unclassified,1,A632_1S,B14,2,2,INBRED,0,,,,,CB59G_1
942,A666,Ames23490,Ames 23490,Minnesota,unclassified,0,MinnesotaSynthetic C,0,0,0,0,0,,,,,CB59G
944,A667,Ames23491,Ames 23491,Minnesota,stiff stalk,0,A667_1,Oct-34,0,0,0,0,,,,,L120
947,A668,Ames23492,Ames 23492,Minnesota,unclassified,0,A668_2,C103,0,0,0,0,,,,,LH38 
951,A669,Ames23493,Ames 23493,Minnesota,unclassified,0,A669_3,Hy2,0,0,0,0,,,,,W153R_1
956,A670,Ames23494,Ames 23494,Minnesota,stiff stalk,0,A670_4,A619,0,0,0,0,,,,,
961,A671,Ames23495,Ames 23495,Minnesota,unclassified,0,A671_2,N13A,0,0,0,0,,,,,LH52_1
965,A672,Ames23496,Ames 23496,Minnesota,unclassified,0,A672_2,A633,0,0,0,0,,,,,LH52_2
966,A673,Ames23497,Ames 23497,Minnesota,unclassified,0,UCD73,0,0,0,0,0,,,,,LH57_1
967,A674,Ames23498,Ames 23498,Minnesota,unclassified,0,ULR,0,0,0,0,0,,,,,LH53
968,A675,Ames23499,Ames 23499,Minnesota,unclassified,0,A662,B73,0,0,0,0,,,,,LH59_1
969,A676,Ames23500,Ames 23500,Minnesota,unclassified,0,A662,B70,0,0,0,0,,,,,
970,A677,Ames23501,Ames 23501,Minnesota,unclassified,0,A90,Oh545,0,0,0,0,,,,,VA35_1
972,A678,Ames23502,Ames 23502,Minnesota,unclassified,0,A678_1,B52,0,0,0,0,,,,,
977,A680,Ames23503,Ames 23503,Minnesota,stiff stalk,0,A679_3,B73,0,0,BC3 selfed,0,,,,,LH47_1
978,A681,Ames23504,Ames 23504,Minnesota,stiff stalk,0,A679_3,B73,0,0,BC3 selfed,0,,,,,LH47 
982,A683,Ames23505,Ames 23505,Minnesota,unclassified,0,A682_2,Mo17,0,0,BC2 selfed,0,,,,,LH55
3578,S4,Ames23508,Ames 23508,Poland,Ysweet corn,0,0,0,0,0,0,Unknown pedigree,,,,,ASA
3587,S8,Ames23509,Ames 23509,Poland,Ysweet corn,0,0,0,0,0,0,Unknown pedigree,,,,,LH61_1
3579,S43,Ames23510,Ames 23510,Poland,Ysweet corn,0,0,0,0,0,0,Unknown pedigree,,,,,LH61_2
259,Oh51A,Ames23922,Ames 23922,Other,unclassified,1,OH51A_1,OH51,2,5,INBRED,0,,,,,LH18_1
3805,Tx61M,Ames23923,Ames 23923,Other,unclassified,1957,YellowSurcropper,YellowSurcropper,0,0,INBRED,0,,,,,LH18
3811,Tx706,Ames23924,Ames 23924,Other,unclassified,1997,Tx706_2,Tx602,0,0,INBRED,Tx61MxTx602)Tx602-Tx602,,,,,LH65_1
1311,CG10,Ames24585,Ames 24585,Ontario,unclassified,0,0,0,0,0,INBRED,European material,,,,,P3358
2461,I159,Ames24589,Ames 24589,Other,unclassified,1,IODENT,IODENT,1,4,INBRED,0,,,,,N22 
2462,I198,Ames24590,Ames 24590,Other,unclassified,1,IODENT,IODENT,1,4,INBRED,0,,,,,N22A
2826,MS1,Ames24704,Ames 24704,Michigan,non-stiff stalk,0,0,0,0,0,0,0,,,,,LH7_1
2875,MS4,Ames24705,Ames 24705,Michigan,unclassified,1963,PickettOP,PickettOP,0,0,INBRED,0,,,,,LH7 
2842,MS12,Ames24706,Ames 24706,Michigan,unclassified,1958,MS12_4,GoldenGlow,0,0,INBRED,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Golden Glow,,,,,P3978
2857,MS24,Ames24707,Ames 24707,Michigan,unclassified,1954,MS12_4,DuncanOP,0,0,0,0,,,,,LittleBriton
2874,MS24A,Ames24708,Ames 24708,Michigan,unclassified,1958,,PickettOP,0,0,INBRED,0,,,,,LongfellowFlint
2876,MS57,Ames24709,Ames 24709,Michigan,non-stiff stalk,1969,W10,Oh40B,0,0,INBRED,0,,,,,GLAMOS
2877,MS67,Ames24710,Ames 24710,Michigan,unclassified,0,MS100_1,MS1334,0,0,INBRED,[(L317 X 38-11) MS1334],,,,,LP5_1
2878,MS68,Ames24711,Ames 24711,Michigan,non-stiff stalk,1972,W10,Oh40B,0,0,INBRED,0,,,,,E00MCOMP
2880,MS72,Ames24713,Ames 24713,Michigan,unclassified,1972,W10,MS206,0,0,INBRED,0,,,,,BPA
2882,MS74,Ames24714,Ames 24714,Michigan,unclassified,1979,MSEarlySyn1,MSEarlySyn1,0,0,INBRED,0,,,,,MDA-28
2883,MS75,Ames24715,Ames 24715,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,C103HT
2884,MS76,Ames24716,Ames 24716,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,Mo17-H
2885,MS77,Ames24717,Ames 24717,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,400MCOMP
2886,MS78,Ames24718,Ames 24718,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,Dec-21
2887,MS79,Ames24719,Ames 24719,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,800M
2889,MS80,Ames24720,Ames 24720,Michigan,unclassified,1969,P373,P373,0,0,INBRED,0,,,,,H4101
2890,MS81,Ames24721,Ames 24721,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,MexicanJune
2891,MS89,Ames24722,Ames 24722,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,MidlandYellowDent
2892,MS91,Ames24723,Ames 24723,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,MO18W_1
2894,MS92,Ames24724,Ames 24724,Michigan,unclassified,1969,MS92_1,R53,0,0,INBRED,[(Oh40B X R53) R53],,,,,
2895,MS93,Ames24725,Ames 24725,Michigan,unclassified,1969,MS92_1,R53,0,0,INBRED,[(Oh40B X R53) R53],,,,, HillYellowDent
2831,MS106,Ames24727,Ames 24727,Michigan,unclassified,1963,W10,MS9,0,0,INBRED,0,,,,,NealPaymaster
2835,MS107,Ames24728,Ames 24728,Michigan,unclassified,1963,M14,NY3,0,0,INBRED,0,,,,,MS1334_1
2837,MS116,Ames24729,Ames 24729,Michigan,unclassified,1961,DuncanOP,DuncanOP,0,0,INBRED,0,,,,,
2843,MS132,Ames24730,Ames 24730,Michigan,stiff stalk,1963,BSSS,BSSS,0,0,INBRED,0,,,,,N196
2851,MS141,Ames24732,Ames 24732,Michigan,unclassified,1970,MS1334,MS141_3,0,0,INBRED,MS1334 X [(H X MS206) X (49 X C105)],,,,,WeekleyImproved
2853,MS142,Ames24733,Ames 24733,Michigan,unclassified,1969,Mich250,Mich250,0,0,0,Mich 250,,,,,ILL.L
2854,MS153,Ames24734,Ames 24734,Michigan,unclassified,1972,BSSS,BSSS,1,1,INBRED,0,,,,,OH07
2855,MS198,Ames24735,Ames 24735,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,Oh3167B
2856,MS199,Ames24736,Ames 24736,Michigan,unclassified,0,0,0,0,0,INBRED,,,,,,
2859,MS200,Ames24737,Ames 24737,Michigan,unclassified,1979,MS200_1,MS24,0,0,INBRED,0,,,,,OH545_1
2860,MS201,Ames24738,Ames 24738,Michigan,unclassified,0,0,0,0,0,0,0,,,,,OH45A_1
2861,MS203,Ames24739,Ames 24739,Michigan,unclassified,0,0,0,0,0,0,0,,,,,OH45A_2
2862,MS204,Ames24740,Ames 24740,Michigan,unclassified,0,0,0,0,0,0,0,,,,,OH45A_3
2844,MS206,Ames24741,Ames 24741,Michigan,unclassified,1964,MS12_4,DuncanOP,0,0,0,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Duncan,,,,,OH45A_4
2864,MS211,Ames24742,Ames 24742,Michigan,unclassified,0,PickettOP,PickettOP,0,0,INBRED,0,,,,,OH45A
2865,MS214,Ames24743,Ames 24743,Michigan,stiff stalk,1963,BSSS,BSSS,0,0,INBRED,0,,,,,OH545_2
2866,MS215,Ames24744,Ames 24744,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,OH545_3
2867,MS216,Ames24745,Ames 24745,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,OH45T4
2868,MS221,Ames24746,Ames 24746,Michigan,non-stiff stalk,1988,0,0,0,0,INBRED,Broadbase Selection for European corn borer,,,,,OH545_4
2869,MS222,Ames24747,Ames 24747,Michigan,non-stiff stalk,1988,0,0,0,0,INBRED,Broadbase Selection for European corn borer,,,,,OH545_5
2870,MS223,Ames24748,Ames 24748,Michigan,non-stiff stalk,1988,0,0,0,0,INBRED,Broadbase Selection for European corn borer,,,,,OH565_6
2871,MS224,Ames24749,Ames 24749,Michigan,non-stiff stalk,1988,0,0,0,0,INBRED,Broadbase Selection for European corn borer,,,,,Oh545
2872,MS225,Ames24750,Ames 24750,Michigan,non-stiff stalk,1988,0,0,0,0,INBRED,Broadbase Selection for European corn borer,,,,,OH11-6
2873,MS226,Ames24751,Ames 24751,Michigan,unclassified,0,0,0,0,0,INBRED,0,,,,,OriginalMidland1
4002,Va99,Ames24989,Ames 24989,Other,non-stiff stalk,0,Oh07B X Pa91,0,0,0,0,0,,,,,OsterlandReidsYellowDent
3701,SeparationfromTzi24,Ames25177,Ames 25177,Other,tropical,0,Tzi24,0,0,0,INBRED,0,,,,,ReidYellowDent(Palin)
3699,SeparationfromSC84E,Ames25179,Ames 25179,Other,unclassified,0,SC84E,0,0,0,INBRED,0,,,,,PA70L
3698,SeparationfromSC16,Ames25181,Ames 25181,Other,unclassified,0,SC16,0,0,0,INBRED,Redcob version SC16,,,,,PA884P_1
3700,SeparationfromSC90,Ames25182,Ames 25182,Other,unclassified,0,SC90,0,0,0,INBRED,0,,,,,PA884P_2
1946,GA221,Ames25218,Ames 25218,Other,unclassified,0,Coker911,0,0,0,INBRED,Open Pollinated ear of Coker911 (Hybrid),,,,,PA884P_3
857,A619Ht1,Ames25219,Ames 25219,Minnesota,non-stiff stalk,0,0,0,0,0,INBRED,ht2 version of A619,,,,,
858,A619Ht2,Ames25220,Ames 25220,Minnesota,non-stiff stalk,0,0,0,0,0,INBRED,ht3 version of A619,,,,,PA884P_4
859,A619Ht3,Ames25221,Ames 25221,Minnesota,non-stiff stalk,0,0,0,0,0,INBRED,0,,,,,PA884P_5
603,38-11RPARENTHB19INB,Ames2523,Ames 2523,Other,stiff stalk,0,0,0,0,0,0,Accession was collected. Portugal. Donated 1983,,,,,PA884P_6
3346,Pa91HT1,Ames25372,Ames 25372,Other,stiff stalk,0,Pa91,Ht1source,0,0,INBRED,0,,,,,PA884P
3347,Pa91HT2,Ames25373,Ames 25373,Other,unclassified,0,Pa91,Ht2source,0,0,INBRED,0,,,,,PB80_2
3348,Pa91HT3,Ames25374,Ames 25374,Other,stiff stalk,0,Pa91,Ht3source,0,0,INBRED,0,,,,,PB80_3
262,H60,Ames25559,Ames 25559,Indiana,unclassified,1,H60_1,H60_2,0,0,INBRED,0,,,,,PB80_4
749,P8,Ames26021,Ames 26021,Other,unclassified,1,ReidYellowDent(Palin),ReidYellowDent(Palin),2,2,INBRED,0,,,,,PB80_5
3314,P8,Ames26021,Ames 26021,Other,unclassified,1,ReidYellowDent(Palin),ReidYellowDent(Palin),2,2,INBRED,0,,,,,PB80_6
3782,Tr,Ames26022,Ames 26022,Other,unclassified,0,ReidYellowDent(Troyer strain),ReidYellowDent(Troyer strain),0,0,INBRED,Reid Yellow Dent (Troyer strain),,,,,PB80_7
1355,CI540,Ames26028,Ames 26028,Other,unclassified,1,ILLINOISTWOEAR,ILLINOISTWOEAR,0,0,INBRED,0,,,,,PerkinsYellowDent
1332,CI1,Ames26114,Ames 26114,Other,unclassified,0, CI1_1,CI11B,0,0,0,0,,,,,G3RZ1
1342,CI2,Ames26115,Ames 26115,Other,unclassified,0,CI23,CI2_1,0,0,INBRED,0,,,,,G3BD2
1364,CI3A,Ames26116,Ames 26116,Other,unclassified,1,CI3,CI3,1,5,INBRED SELF OUT OF CI13_1/UNKNOWN,0,,,,,I207
1388,CI7A,Ames26117,Ames 26117,Other,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,H7FS6
1333,CI11B,Ames26118,Ames 26118,Other,unclassified,1,USSelection119,USSelection119,0,0,INBRED CI11B DERIVED BY SELFING US119,0,,,,,PHGB4
1339,CI19,Ames26119,Ames 26119,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,A33GB4
1343,CI20,Ames26120,Ames 26120,Other,unclassified,0,0,0,0,0,INBRED,Unknown peidigree,,,,,PHCB4
1347,CI28,Ames26121,Ames 26121,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,PH848
1349,CI28B,Ames26122,Ames 26122,Other,unclassified,0,0,0,0,0,0,0,,,,,PH891
1350,CI28C,Ames26123,Ames 26123,Other,unclassified,0,0,0,0,0,0,0,,,,,PH814
1357,CI30,Ames26124,Ames 26124,Other,unclassified,0,Os420,NC34,0,0,INBRED,0,,,,,PH595
1358,CI31,Ames26125,Ames 26125,Other,unclassified,0,MIDLANDA,MIDLANDA,0,0,INBRED,"Midland ""A"" OP",,,,,PH806
1361,CI32,Ames26126,Ames 26126,Other,unclassified,0,L317,L97,0,0,INBRED,0,,,,,PHB97
1362,CI34,Ames26127,Ames 26127,Other,unclassified,0,0,0,0,0,INBRED,Unknown peidigree,,,,,PHB09
1366,CI40H,Ames26128,Ames 26128,Other,unclassified,0,Os420,CI23,0,0,INBRED,0,,,,,PHB36
1367,CI41,Ames26129,Ames 26129,Other,unclassified,0,USSelection119,0,0,0,INBRED,0,,,,,PHBAC26
1374,CI46,Ames26130,Ames 26130,Other,unclassified,0,0,0,0,0,INBRED,Unknown peidigree,,,,,PH070
1384,CI70,Ames26131,Ames 26131,Other,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,PHAC54
1385,CI72,Ames26132,Ames 26132,Other,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,
1386,CI74,Ames26133,Ames 26133,Other,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,
1387,CI75,Ames26134,Ames 26134,Other,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,AB70
1396,CI82B,Ames26135,Ames 26135,Other,unclassified,0,Pd2287-1,R39,0,0,INBRED, ,,,,,PHAC34
1398,CI84B,Ames26136,Ames 26136,Other,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,PHG93H
1411,CI91C,Ames26137,Ames 26137,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,PHK42_1
125,CI187_2,Ames26138,Ames 26138,Other,stiff stalk,1,KRUG,0,1,4,INBRED,0,,,,,PHAD18
3224,NEI9004,Ames26253,Ames 26253,Thailand,tropical,0,0,0,0,0,INBRED,0,,,,,PHB02
1967,GEMN-0034,Ames26439,Ames 26439,GEM,unclassified,0,PE001,0,0,0,0,0,,,,,PHG97
1971,GEMN-0038,Ames26443,Ames 26443,GEM,unclassified,0,PE001,0,0,0,0,0,,,,,PHR33
2097,GEMS-0008,Ames26484,Ames 26484,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,PHB81
2110,GEMS-0026,Ames26501,Ames 26501,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,PHG69
2096,GEMS-0007,Ames26511,Ames 26511,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,PHG70
602,Oct-34,Ames26604,Ames 26604,Other,unclassified,1,Outcross in line from 176A,Outcross in line from 176A,1,5,INBRED OC176A SELFED,0,,,,,PH157
882,A632+/sh2,Ames26760,Ames 26760,Wisconsin,stiff stalk,0,A632,Unknown HT source ,0,0,INBRED  LIKELY BC5 TO A632  HT SOURCE UNKNOWN,0,,,,,PH041HT
886,A632sh2/sh2,Ames26761,Ames 26761,Wisconsin,stiff stalk,0,A632,0,0,0,0,0,,,,,CM11
887,A632su/su,Ames26762,Ames 26762,Wisconsin,stiff stalk,0,A632,0,0,0,0,0,,,,,PHB60
1246,B84+/su,Ames26763,Ames 26763,Wisconsin,stiff stalk,0,B84,0,0,0,INBRED,su version of B84,,,,,PHHD38
2658,Mo17+/su,Ames26764,Ames 26764,Wisconsin,non-stiff stalk,0,Mo17,0,0,0,INBRED,su conversion,,,,,PHG44
3279,Oh43su,Ames26765,Ames 26765,Other,non-stiff stalk,0,Oh43,0,0,0,INBRED,0,,,,,PHAT2
3278,Oh43sh2,Ames26766,Ames 26766,Wisconsin,non-stiff stalk,0,Oh43,0,0,0,INBRED,0,,,,,PHEJ8
4021,W64Aae,Ames26767,Ames 26767,Wisconsin,stiff stalk,0,W64A,0,0,0,INBRED,0,,,,,PHB83
4022,W64Aae/wx,Ames26768,Ames 26768,Other,stiff stalk,0,W64A,0,0,0,INBRED,0,,,,,PHB82
1186,B2,Ames26769,Ames 26769,Iowa,unclassified,1,ReidYellowDent,ReidYellowDent,1,4,INBRED ,There is an Indiana line coded B2 from Butler Reid,,,,,PHG61
503,66,Ames26770,Ames 26770,Illnois,unclassified,1,EarlyYellowDent,EarlyYellowDent,1,4,INBRED   ,0,,,,,PHR36_1
601,33-16,Ames26771,Ames 26771,Other,unclassified,1,LuxJohnsonCountyWhite,LuxJohnsonCountyWhite,1,1,INBRED,0,,,,,PHR36_2
2292,H5,Ames26772,Ames 26772,Indiana,unclassified,1,22-35,22-35,2,1,SELF OUT OF 22-35   22-35 MAY NOT HAVE BEEN FULLY INBRED,0,,,,,PHR36_3
2200,H10,Ames26773,Ames 26773,Indiana,unclassified,0,CI187_2, ITE701,0,0,INBRED,0,,,,,PHR36_4
2268,H14,Ames26774,Ames 26774,Indiana,unclassified,0,LancasterSynthetic,0,0,0,INBRED,0,,,,,PHB49
2269,H19,Ames26775,Ames 26775,Indiana,unclassified,0,EarlyYellowDent,0,0,0,INBRED,0,,,,,PHHD12
2271,H22w,Ames26776,Ames 26776,Indiana,non-stiff stalk,0,JohnsonCountyWhite,0,0,0,INBRED,0,,,,,PHV80
2272,H23w,Ames26777,Ames 26777,Indiana,unclassified,0,PrideofSaline,0,0,0,INBRED,0,,,,,PHW94
2214,H26W,Ames26778,Ames 26778,Indiana,unclassified,0,M14W,0,0,0,0,0,,,,,PHG21
2275,H27w,Ames26779,Ames 26779,Indiana,unclassified,0,White _L,0,0,0,INBRED,0,,,,,PHG41
2224,H28W,Ames26780,Ames 26780,Indiana,unclassified,0,H28W_1,Hy,0,0,INBRED,0,,,,,PHG27
2277,H29w,Ames26781,Ames 26781,Indiana,unclassified,0,White205-2,0,0,0,INBRED,0,,,,,PH031
2280,H30W,Ames26782,Ames 26782,Indiana,unclassified,0,30W_2,Oct-34,0,0,INBRED,0,,,,,PH555
2282,H41,Ames26783,Ames 26783,Indiana,unclassified,0,H41_1,M14,0,0,INBRED,0,,,,,B09_EARLYB37
2284,H42,Ames26784,Ames 26784,Indiana,unclassified,0,H42_1,M14,0,0,INBRED,0,,,,,PHZAP4CB
2286,H45,Ames26785,Ames 26785,Indiana,stiff stalk,0,H45_1,WF9,0,0,INBRED,0,,,,,PHG42
2289,H46,Ames26786,Ames 26786,Indiana,stiff stalk,0,H46_1,WF9,0,0,INBRED,0,,,,,PHG48
2291,H49,Ames26787,Ames 26787,Indiana,unclassified,1, H49_1,WF9,1,3,INBRED,0,,,,,PH801
2295,H50,Ames26788,Ames 26788,Indiana,unclassified,0,H50_2,Oct-34,0,0,INBRED,0,,,,,PH1D11
2296,H51,Ames26789,Ames 26789,Indiana,unclassified,0,H50_2,Oct-34,0,0,INBRED,0,,,,,PHW17_1
2298,H52,Ames26790,Ames 26790,Indiana,unclassified,0,H52_1,Oct-34,0,0,INBRED,0,,,,,PH051
2301,H55,Ames26791,Ames 26791,Indiana,unclassified,0,H55_2,Hy,0,0,INBRED,0,,,,,PHW17_2
2304,H59,Ames26792,Ames 26792,Indiana,unclassified,0,H59_1,Mo940,0,0,INBRED,0,,,,,PHB76
2306,H71,Ames26793,Ames 26793,Indiana,unclassified,0,H71_1,W22,0,0,INBRED,0,,,,,PHW20_1
2308,H73,Ames26794,Ames 26794,Indiana,unclassified,0,H73_1,Oh51A,0,0,0,0,,,,,PHDF2
2202,H88,Ames26795,Ames 26795,Indiana,unclassified,0,Oh43,CI90A,0,0,INBRED,0,,,,,PH861
170,H93,Ames26796,Ames 26796,Indiana,unclassified,1,H93_4,B37,2,5,INBRED,0,,,,,PHT90
2312,H96,Ames26797,Ames 26797,Indiana,unclassified,0,H55,H56,0,0,INBRED,0,,,,,PH841
2229,H98,Ames26798,Ames 26798,Indiana,unclassified,1,OH45,HY,2,5,INBRED,0,,,,,Pickett(Dickersonstrain)
2208,H101,Ames26799,Ames 26799,Indiana,unclassified,0,H88,H95,0,0,INBRED,0,,,,,PolarDent
2228,H106W,Ames26800,Ames 26800,Indiana,unclassified,0,H106W_2,H84,0,0,INBRED,0,,,,,PrideofSaline
2234,H108,Ames26801,Ames 26801,Indiana,non-stiff stalk,0,H108_1,Mo17,0,0,INBRED,0,,,,,PrideoftheNorth
2235,H109,Ames26802,Ames 26802,Indiana,non-stiff stalk,0,H108_1,Mo17,0,0,INBRED,0,,,,,SnellingCornBorerSynthetic
