,Pedigree information,,,,,,Maturity indicators,,,,,,,,Disease resistance (1-5),,,,,,,,,,,,,,Insect resistance,,,,,Herbicide,Plant characteristics,,,,,,,,,,,,,Ear characteristics,,,,,,Grain characteristics,,,,,,,Combining ability for yield,,,,,,,Descriptive Remarks,,
76,CLP3201,G32,G32C19MH32-1-#1-1-1-###,G32-C19-HS32-1-#-1-1-1-B,G32C19H32-1-#1-1-1-###,Subtropical,Interm,,961,,,,,,,,,3.2,,,,,,,,,,1.5,,,,,,,,Avg,,Low,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1992,
77,CLP3202,G32,G32C19MH32-1-#1-5-1-###,G32-C19-HS32-1-#-1-5-1-B,G32C19H32-1-#1-5-1-###,Subtropical,Interm,,929,,,,,,,,,4.0,,,,,,,,,,1.5,,,,,,,,Avg,,Low,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1992,
78,CLP3203,G32,G32C19MH32-1-#2-B-###-3-B,G32-C19-HS32-1-#-2-B-#*3-3-B,G32C19H32-1-#2-B-###-3-B,Subtropical,Interm,,1030,,,,,,,,,3.5,,,,,,,,,,1.5,,,,,,,,Avg,,Low,,1.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,,A TESTER,,Lodging,1992,
79,CLP3204,G32,G32C19MH41-1-#1-B-##,G32-C19-HS41-1-#-1-B,G32C19H41-1-#1-B-##,Subtropical,Interm,,998,,,,,,,,,3.8,,,,,,,,,,1.5,,,,,,,,Avg,,Low,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Lodging,1992,
80,CLP3205,G32,G32C19MH233-2-#1-B-####-#B,G32-C19-HS233-2-#-1-B,G32C19H233-2-#1-B-#####B,Subtropical,Early,,899,,,,,,,,,3.0,,,,,,,,,,1.5,,,,,,,,Tall,,Low,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,,1992,
81,CLP3206,G32,G32C19MH256-1-1-1-1-#*,G32-C19-HS256-1-1-1-1-B,G32C19H256-1-1-1-1-#*,Subtropical,Early,,899,,,,,,,,,3.0,,,,,,,,,,1.5,,,,,,,,Avg,,Low,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Lodging,1992,
82,CLP3207,G32,G32C19MH256-1-2-B-##,G32-C19-HS256-1-2-B,G32C19H256-1-2-B-##,Subtropical,Early,,929,,,,,,,,,3.2,,,,,,,,,,1.5,,,,,,,,Short,,Low,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1992,
83,CLP3208,G32,G32C19MH353-1-#1-4-2-#,G32-C19-HS353-1-#-1-4-2-B,G32C19H353-1-#1-4-2-#,Subtropical,Interm,,1030,,,,,,,,,3.2,,,,,,,,,,1.5,,,,,,,,Short,,Low,,2.0,,,,,,,,,,,,,,W,SF,No,,,,,,2.0,,,, ,,,1992,
84,CLP3209,G32,G32C19MH512-2-#1-b-####-6-B,G32-C19-HS512-2-#-1-B-#*4-6-B,G32C19H512-2-#1-B-####-6-B,Subtropical,Interm,,998,,,,,,,,,3.5,,,,,,,,,,1.5,,,,,,,,Tall,,Low,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Lodging,1992,
85,CL03401,P34,Pob34C5HC21-2-#1-2-2-#,P34-C5-FS21-2-#-1-2-2-#,P34C5F21-2-#1-2-2-#,Subtropical,Interm,,1018,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,SF,No,,,,,,2.0,,,, ,,,1992,
86,CL03402,P34,Pob34C5HC34-4-#3-B-####,P34-C5-FS34-4-#-3-B,P34C5F34-4-#3-B-####,Subtropical,Late,,1061,,,,,,,,,2.8,,,,,,,,,,1.5,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,F,No,,,,,,4.0,,,, ,,,1992,
87,CL03403,P34,Pob34C5HC140-3-#2-B,P34-C5-FS140-3-#-2-B,P34C5F140-3-#2-B,Subtropical,Late,,1061,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,F,No,,,,,,2.0,,,, ,,,1992,
88,CL03404,P34,Pob34C5HC186-2#1-B,P34-C5-FS186-2-#-1-B,P34C5F186-2#1-B,Subtropical,Interm,,1030,,,,,,,,,3.0,,,,,,,,,,1.5,,,,,,,,Tall,,Avg,,2.0,,,,,,,,,,,,,,W,SF,No,,,,,,2.0,,,, ,,,1992,
89,CL03405,P34,Pob34C5HC188-1-#2-9-1-###,P34-C5-FS188-1-#-2-9-1-B,P34C5F188-1-#2-9-1-###,Subtropical,Interm,,978,,,,,,,,,3.0,,,,,,,,,,1.5,,,,,,,,Short,,Low,,1.0,,,,,,,,,,,,,,W,F,No,,,,,,2.0,,,, ,,Lodging,1992,
90,CL03406,P34,Pob34C5HC250-1-#4-2-1-#*6,P34-C5-FS250-1-#-4-2-1-B,P34C5F250-1-#4-2-1-#*6,Subtropical,Interm,,978,,,,,,,,,3.0,,,,,,,,,,1.5,,,,,,,,Avg,,Avg,,1.0,,,,,,,,,,,,,,W,F,No,,,,,,2.0,,,, ,,Lodging,1992,
91,CL04201,P42,Pob42C4HC101-3-1-B-###,P42-C4-FS101-3-1-B,P42C4F101-3-1-B-###,Subtropical,Interm,,961,,,,,,,,,2.5,,,,,,,,,,2.0,,,,,,,,Tall,,Avg,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,,1992,
92,CL04202,P42,Pob42C4HC123-3-2-2-2-##,P42-C4-FS123-3-2-2-2-B,P42C4F123-3-2-2-2-##,Subtropical,Late,,1061,,,,,,,,,3.5,,,,,,,,,,2.0,,,,,,,,Tall,,Low,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,,1992,
93,CL04203,P42,Pob42C4HC128-1#2-3-1-##,P42-C4-FS128-1-#-2-3-1-B,P42C4F128-1#2-3-1-##,Subtropical,Interm,,998,,,,,,,,,2.2,,,,,,,,,,1.5,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,SF,No,,,,,,2.0,,,, ,,Turcicum,1992,
94,CL04204,P42,Pob42C4HC130-1-1-B-##,P42-C4-FS130-1-1-B,P42C4F130-1-1-B-##,Subtropical,Interm,,1030,,,,,,,,,2.5,,,,,,,,,,1.5,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,,1992,
95,CL04205,P42,Pob42C4HC226-1-#2-2-1-##,P42-C4-FS226-1-#-2-2-1-B,P42C4F226-1-#2-2-1-##,Subtropical,Late,,1046,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,Short,,Low,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,,1992,
96,CL04206,P42,Pob42C4HC233-1-#2-B-#*6-2-B,P42-C4-FS233-1-#-2-B-#*6-2-B,P42C4F233-1-#2-B-#*6-2-B,Subtropical,Interm,,978,,,,,,,,,3.8,,,,,,,,,,1.5,,,,,,,,Tall,,Avg,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1992,
97,CL04207,P42,Pob42C4HC236-1-1-B-#,P42-C4-FS236-1-1-B,P42C4F236-1-1-B-#,Subtropical,Late,,1046,,,,,,,,,2.5,,,,,,,,,,1.5,,,,,,,,Tall,,High,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,,1992,
98,CL04208,P42,Pob42C4HC268-1-1-B-##,P42-C4-FS268-1-1-B,P42C4F268-1-1-B-##,Subtropical,Interm,,1018,,,,,,,,,2.5,,,,,,,,,,1.5,,,,,,,,Tall,,Avg,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,,1992,
99,CL04209,P42,Pob42(STE)C1HC39-2-2-1-1-BB,P42STE-C1-FS39-2-2-1-1-B,P42(STE)C1F39-2-2-1-1-BB,Subtropical,Interm,,978,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,4.0,,,, ,,,1992,
100,CL04401,P44,Pob44C4HC33-2-1-B-###,P44-C4-FS33-2-1-B,P44C4F33-2-1-B-###,Subtropical,Interm,,1030,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,SF,No,,,,,,2.0,,,, ,,Turcicum,1992,
101,CL04402,P44,Pob44C4HC65-1-#1-B-###-#2-1-2-BB,P44-C4-FS65-1-#-1-B-#*4-2-1-2-B,P44C4F65-1-#1-B-####2-1-2-BB,Subtropical,Late,,1046,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,Avg,,Avg,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1992,
102,CL04403,P44,Pob44C4HC65-1-#2-B-2-#,P44-C4-FS65-1-#-2-B-2-B,P44C4F65-1-#2-B-2-#,Subtropical,Late,,1046,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,Avg,,Low,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Turcicum,1992,
103,CL04404,P44,Pob44C4HC101-3-#1-1-B-###,P44-C4-FS101-3-#-1-1-B,P44C4F101-3-#1-1-B-###,Subtropical,Interm,,945,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,Avg,,High,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1992,
104,CL04405,P44,Pob44C4HC101-3-1-2-3-##,P44-C4-FS101-3-1-2-3-B,P44C4F101-3-1-2-3-##,Subtropical,Interm,,997,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1992,
105,CL04406,P44,Pob44C4HC101-3-1-2-B-#*7,P44-C4-FS101-3-1-2-B,P44C4F101-3-1-2-B-#*7,Subtropical,Interm,,1018,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1992,
106,CL04407,P44,Pob44C4H182-2-#3-6-1-1-B,P44-C4-FS182-2-#-3-6-1-1-B,P44C4H182-2-#3-6-1-1-B,Subtropical,Late,,1061,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,Tall,,High,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Turcicum,1992,
107,CL04408,P44,Pob44C4HC231-1-#1-B-####-#B,P44-C4-FS231-1-#-1-B,P44C4F231-1-#1-B-#####B,Subtropical,Late,,961,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,Tall,,High,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Turcicum,1992,
108,CL04409,P44,Pob44(STE)C1HC59-3-1-4-4-BB,P44STEC1-FS59-3-1-4-4-B,P44(STE)C1F59-3-1-4-4-BB,Subtropical,Interm,,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,,Avg,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Lodging,1992,
109,CL04701,P47,Pob47C2HC-B-51-2-B-####-BB,P47-C2-FS51-2-B,P47C2F-B-51-2-B-####-BB,Subtropical,Interm,,978,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,4.0,,,, ,,,1992,
110,CL04702,P47,Pob47(Bulk4)3-2-1-#-3-B,P47-B-3-2-1-#-3-B,P47(B4)3-2-1-#-3-B,Subtropical,Interm,,961,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,,1992,
111,CL00501,REC,(G32F32*POB42F258)-11-1-2-BBB,(G32-F32/P42-F258)-11-1-2-B,(G32F32/P42F258)-11-1-2-BBB,Subtropical,Interm,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,,Avg,,1.0,,,,,,,,,,,,,,W,SD,No,,,,,,4.0,,,, ,,Lodging,1992,
112,CL03301,P33,Pob33C1HC-B-3-3-B-#-#2-2-2-BB,P33-C1-FS3-3-B-#-#-2-2-2-B,P33C1F-B-3-3-B-##2-2-2-BB,Subtropical,Early,,945,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,4.0,,,, ,,,1992,
113,CL03302,P33,Pob33C1HC-B-129-B-###-2-B,P33-C1-FS129-B-#*3-2-B,P33C1F-B-129-B-###-2-B,Subtropical,Interm,,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,4.0,,,, ,,,1992,
114,CL04501,P45,Pob45C2HC-B-88-##-#1-1-2-BB,P45-C2-FS88-#*3-1-1-2-B,P45C2F-B-88-###1-1-2-BB,Subtropical,Late,,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,4.0,,,, ,,,1992,
115,CL04501,P45,Pob45C2HC151(RIF)-#-5-1-2-BBB,P45-C2-FS151RIF-#-5-1-2-B,P45C2F151(RIF)-#-5-1-2-BBB,Subtropical,Interm,,998,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,4.0,,,, ,,,1992,
116,CL04501,P45,Pob45(STE)C1HC36-5-1-3-1-BB,P45STE-C1-FS36-5-1-3-1-B,P45(STE)C1F36-5-1-3-1-BB,Subtropical,Interm,,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,D,No,,,,,,4.0,,,, ,,,1992,
117,,REC,(G32/Cornell6006)-32-5-1-2-2-1-b1#b1,(G32/CORNELL6006)-32-5-1-2-2-1-B,(G32/CORNELL6006)-32-5-1-2-2-1-B1#B1,Subtropical,Late,,1190,,,,,,,3.0,,2.0,,,,,,,,,,3.0,,,5.0,,,,,Short,,Low,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,Turcicum,1992,
118,,SIYF,SIYFs3#b1-7-b1-b1#b1,SIYF-B*3-#-1-7-B,SIYFS3#B1-7-B1-B1#B1,Subtropical,Late,,1185,,,,,,,4.5,,5.0,,,,,,,,,,4.0,,,5.0,,,,,Avg,,Low,,3.0,,,,,,,,,,,,,,Y,F,No,,,,,,3.0,,,, ,, ,1992,
119,,,B807-2-3-3-3-1-4-b1-b1#b1,B807-2-3-3-3-1-4-B,B807-2-3-3-3-1-4-B1-B1#B1,Subtropical,Late,,1215,,,,,,,3.5,,4.0,,,,,,,,,,2.0,,,5.0,,,,,Tall,,High,,1.0,,,,,,,,,,,,,,W,F,No,,,,,,5.0,,,, ,,,1992,
120,,,B807-3-3-1-1-2-b1#b1,B807-3-3-1-1-2-B,B807-3-3-1-1-2-B1#B1,Subtropical,Late,,1290,,,,,,,3.5,,3.0,,,,,,,,,,2.0,,,5.0,,,,,Tall,,Avg,,2.0,,,,,,,,,,,,,,W,SF,No,,,,,,3.0,,,, ,,,1992,
121,,P47,(PI218191/PI209135//PI226685/P1317328/3/p47/MpSWCB4)6-3-1-5-1-b1-b1#b1(Mp704/Mp78:518)-8-3-4-b1-4-2-3-b1-b1-#b1,(PI218191/PI209135//PI226685/P1317328-3/P47/MPSWCB4)-6-3-1-5-1-B/(MP704/MP78-518)-8-3-4-B-1-4-2-3-B,(PI218191/PI209135//PI226685/P1317328/3/P47/MPSWCB4)6-3-1-5-1-B1-B1#B1(MP704/MP78:518)-8-3-4-B1-4-2-3-B1-B1-#B1,Subtropical,Interm,,1120,,,,,,,3.0,,3.0,,,,,,,,,,3.0,,,1.0,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,D,No,,,,,,3.0,,,, ,,"SWCB, FAW",1992,
122,,,(Mp704/Mp78:518)-8-3-4-b1-4-2-3-b1-b1#b1,(MP704/MP78-518)-8-3-4-B-4-2-3-B,(MP704/MP78:518)-8-3-4-B1-4-2-3-B1-B1#B1,Subtropical,Interm,,1110,,,,,,,5.0,,2.5,,,,,,,,,,3.0,,,2.0,,,,,Avg,,Avg,,3.0,,,,,,,,,,,,,,Y,D,No,,,,,,4.0,,,, ,,"SWCB, turcicum",1992,
123,,P47,(P47/MpSCWB4/3/PI209135/PI162927//P1218191/P1209135/4/PI20-9135/PI226685//P1317328/PI218191/3/P47/MpSWCB4)-9-2-3-b12-2-8-b1-b1,(P47/MPSCWB4-3/PI209135/PI162927//P1218191/P1209135-4/PI20-9135/PI226685//P1317328/PI218191-3/P47/MPSWCB4)-9-2-3-B-12-2-8-B,(P47/MPSCWB4/3/PI209135/PI162927//P1218191/P1209135/4/PI20-9135/PI226685//P1317328/PI218191/3/P47/MPSWCB4)-9-2-3-B12-2-8-B1-B1,Subtropical,Interm,,1110,,,,,,,5.0,,5.0,,,,,,,,,,3.0,,,2.0,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,F,No,,,,,,5.0,,,, ,,SWCB 1st gen.,1992,
124,,P47,(P47/Mp704)-3-1-8-2-4-1-4-b1-b1#b1,(P47/MP704)-3-1-8-2-4-1-4-B,(P47/MP704)-3-1-8-2-4-1-4-B1-B1#B1,Subtropical,Early,,1030,,,,,,,1.5,,2.5,,,,,,,,,,2.0,,,1.0,,,,,Avg,,Avg,,1.0,,,,,,,,,,,,,,Y,F,No,,,,,,4.0,,,, ,,"SWCB, turcicum, rust",1992,
125,,P47,(PI218191/PI209135//PI226685/P1317328/3/P47/MpSWCB4)6-3-1-5-2-1-3-2-b2-b1#b1,(PI218191/PI209135//PI226685/P1317328-3/P47/MPSWCB4)-6-3-1-5-2-1-3-2-B-2-B,(PI218191/PI209135//PI226685/P1317328/3/P47/MPSWCB4)6-3-1-5-2-1-3-2-B2-B1#B1,Subtropical,Interm,,1120,,,,,,,3.0,,2.5,,,,,,,,,,2.0,,,1.0,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,D,No,,,,,,3.0,,,, ,,"SWCB, turcicum",1992,
126,,P47,(P47/MpSCWB4/3/PI209135/PI162927//P1218191/P1209135/4/PI20-9135/PI226685//P1317328/PI218191/3/P47/MpSWCB4)-9-2-1-b1-6-1-4-b1-b1-#b1,(P47/MPSCWB4-3/PI209135/PI162927//P1218191/P1209135-4/PI20-9135/PI226685//P1317328/PI218191-3/P47/MPSWCB4)-9-2-1-B-6-1-4-B,(P47/MPSCWB4/3/PI209135/PI162927//P1218191/P1209135/4/PI20-9135/PI226685//P1317328/PI218191/3/P47/MPSWCB4)-9-2-1-B1-6-1-4-B1-B1-#B1,Subtropical,Interm,,1160,,,,,,,2.5,,2.5,,,,,,,,,,3.0,,,3.0,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,SF,No,,,,,,4.0,,,, ,,"Turcicum, rust",1992,
127,,P47,((P47/MpSWCB4)11//(MpSWCB4/Veg20)-1/4/Mp702//PI209135/P1162927/3/-1-3-2-b1-2-1-4-b1-b1#b1,((P47/MPSWCB4)-11//(MPSWCB4/VEG20)-1-4/MP702//PI209135/P1162927-3)-1-3-2-B-2-1-4-B,((P47/MPSWCB4)11//(MPSWCB4/VEG20)-1/4/MP702//PI209135/P1162927/3/-1-3-2-B1-2-1-4-B1-B1#B1,Subtropical,Interm,,1080,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,No,,,,,,,,,, ,,,1992,
128,,G31,G31c15#436-2-1-b1-1#b1#b1#b1-3-b1-b1#b1,G31-C15-436-2-1-1-1-#-B-#-B-#-B-3-B,G31C15#436-2-1-B1-1#B1#B1#B1-3-B1-B1#B1,Subtropical,Interm,,1140,,,,,,,3.0,,4.0,,,,,,,,,,3.0,,,4.0,,,,,Avg,,Avg,,3.0,,,,,,,,,,,,,,W,F,No,,,,,,4.0,,,, ,,,1992,
129,,G32,G32c19#32-1#1-5-1#b1#b1-2-b1-b1#b1,G32-C19-32-1-#-1-5-1-#-B-#-B-2-B,G32C19#32-1#1-5-1#B1#B1-2-B1-B1#B1,Subtropical,Interm,,1165,,,,,,,4.0,,2.5,,,,,,,,,,4.0,,,5.0,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,3.0,,,, ,,Turcicum,1992,
130,,P33,Pob33c1F118-5-1-4-5-4-b1-b1#b1,P33-C1-F118-5-1-4-5-4-B,P33C1F118-5-1-4-5-4-B1-B1#B1,Subtropical,Interm,,1100,,,,,,,5.0,,3.0,,,,,,,,,,3.0,,,5.0,,,,,Avg,,Low,,3.0,,,,,,,,,,,,,,Y,F,No,,,,,,3.0,,,, ,,,1992,
131,,P42,P42c4F226-1#2-1-1#b1#b1-3-b1-,P42-C4-F226-1-#-2-1-1-#-B-#-B-3-B,P42C4F226-1#2-1-1#B1#B1-3-B1-,Subtropical,Interm,,1160,,,,,,,2.5,,4.0,,,,,,,,,,3.0,,,5.0,,,,,Tall,,Low,,3.0,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,Rust,1992,
132,,,b1#b1-(KC12F2/C31)-86-4-6-1-1-5#b1,(KC12F2/C31)-86-4-6-1-1-5-B,B1#B1-(KC12F2/C31)-86-4-6-1-1-5#B1,Subtropical,Interm,,1065,,,,,,,5.0,,2.0,,,,,,,,,,4.0,,,5.0,,,,,Avg,,Avg,,4.0,,,,,,,,,,,,,,W,D,No,,,,,,5.0,,,, ,,Turcicum,1992,
133,,P44,P44c4F182-2-1-2-2#b1#b1-2-2-8-b1-b1#b1,P44-C4-F182-2-1-2-2-#-B-#-B-2-2-8-B,P44C4F182-2-1-2-2#B1#B1-2-2-8-B1-B1#B1,Subtropical,Late,,1215,,,,,,,5.0,,2.5,,,,,,,,,,5.0,,,4.0,,,,,Tall,,Avg,,3.0,,,,,,,,,,,,,,W,D,No,,,,,,4.0,,,, ,,Turcicum,1992,
134,,P45,Pob45c2F151-1-2-5-3-1-2-4-b1-b1#b1,P45-C2-F151-1-2-5-3-1-2-4-B,P45C2F151-1-2-5-3-1-2-4-B1-B1#B1,Subtropical,Interm,,1100,,,,,,,2.0,,4.0,,,,,,,,,,2.0,,,5.0,,,,,Avg,,High,,3.0,,,,,,,,,,,,,,Y,SD,No,,,,,,2.0,,,, ,,Rust,1992,
135,,P47,(P47c1F26-1-#b1-1/P47c1F187-1#b1-3)2-4-1#b1-30-1-b1-b1-b1#b1,(P47-C1-F26-1-#-B-1/P47-C1-F187-1-#-B-3)-2-4-1-#-B-30-1-B,(P47C1F26-1-#B1-1/P47C1F187-1#B1-3)2-4-1#B1-30-1-B1-B1-B1#B1,Subtropical,Interm,,1090,,,,,,,4.5,,3.0,,,,,,,,,,3.0,,,3.0,,,,,Avg,,Avg,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,,1992,
136,,P47,(P47c1F26-1-#b1-1/P47c1F187-1#b1-3-2-5-,P47-C1-F26-1-#-B-1/P47-C1-F187-1-#-B-3-2-5,(P47C1F26-1-#B1-1/P47C1F187-1#B1-3-2-5-,Subtropical,Interm,,1165,,,,,,,4.0,,3.0,,,,,,,,,,3.0,,,4.0,,,,,Avg,,High,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,,1992,
137,,P47,(P47c1F26-1-#b1-1/P47c1F187-1,P47-C1-F26-1-#-B-1/P47-C1-F187-1,(P47C1F26-1-#B1-1/P47C1F187-1,Subtropical,Early,,1050,,,,,,,3.0,,4.0,,,,,,,,,,2.0,,,4.0,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,3.0,,,, ,,,1992,
138,,,XT1055-29-3-1-1-1-3-b1-b1#b1,XT1055-29-3-1-1-1-3-B,XT1055-29-3-1-1-1-3-B1-B1#B1,Subtropical,Interm,,1170,,,,,,,2.5,,3.0,,,,,,,,,,4.0,,,4.0,,,,,Avg,,Avg,,1.0,,,,,,,,,,,,,,W,F,No,,,,,,3.0,,,, ,,Rust,1992,
139,,,Mp78:518-15-b1-b1#b1,MP78-518-15-B,MP78:518-15-B1-B1#B1,Subtropical,Interm,,1140,,,,,,,4.5,,4.0,,,,,,,,,,3.0,,,1.0,,,,,Avg,,Avg,,5.0,,,,,,,,,,,,,,Y,SF,No,,,,,,3.0,,,, ,,"SWCB, FAW",1992,
140,,P62,Pob62c3HC87-2-1-#-#-1-B-#-B,P62-C3-FS87-2-1-#-#-1-B,P62C3F87-2-1-##-1-B-#-B,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,10.8,1.1,,,,,,,, ,,"H. maydis, P. polysora",1992,
141,,P62,Pob62c5HC24-5-3-2-1-B-B-2-B-B-#,P62-C5-FS24-5-3-2-1-B-B-2-B,P62C5F24-5-3-2-1-BB-2-BB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,8.6,1.1,,,,,,,, ,,"H. maydis, P. polysora",1992,
142,,P62,Pob62c5HC93-5-6-1-3-B-B-B-7-B-B-#,P62-C5-FS93-5-6-1-3-B*3-7-B,P62C5F93-5-6-1-3-BBB-7-BB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,10.2,1.0,,,,,,,, ,,"H. maydis, P. polysora",1992,
143,,P62,Pob62c6HC88-1-1-B-B-B-10-B-B-#,P62-C6-FS88-1-1-B*3-10-B,P62C6F88-1-1-BBB-10-BB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,10.7,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
144,,P62,Pob62c5HC182-2-1-2-B-B-3-1-#-#,P62-C5-FS182-2-1-2-B-B-3-1-B,P62C5F182-2-1-2-BB-3-1-##,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,F,Yes,10.5,1.0,,,,,,,, ,,"H. maydis, P. polysora",1992,
145,,P63,Pob63c0HC181-3-2-1-4#-2-B-B-B-B-#-#,P63-C0-FS181-3-2-1-4-#-2-B,P63C0F181-3-2-1-4#-2-BBBB-##,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,9.1,0.9,,,,,,,, ,,"H. maydis, P. polysora",1992,
146,,P63,AC8563MH35-3-1-B-2-1-B-B-1-B-B-#,AC8563-HS35-3-1-B-2-1-B-B-1-B,AC8563H35-3-1-B-2-1-BB-1-BB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,9.1,1.1,,,,,,,, ,,"H. maydis, P. polysora",1992,
147,,P63,Pob63c2HC53-1-1-B-B-B-9-B-B-#,P63-C2-FS53-1-1-B*3-9-B,P63C2F53-1-1-BBB-9-BB-#,Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,D,Yes,10.8,1.0,,,,,,,, ,,"H. maydis, P. polysora",1992,
