Seq,Inbred Line,Accession,Breeding program,Pop structure,Year Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,,,,,Ped_line
,PHG83,,,,,PH814,I207,3,3,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8500152,,,,,
386,PHK42_1,,,unclassified,0,PH806,PH207,0,0,INBRED,0,,,,,
3365,PHH93,PI601567,ExPVP,non-stiff stalk,1,PH806,PH207,3,10,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8800216,,,,,
,PHH93,,,,,PH806,I207,3,10,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8800216,,,,,
,PHK42_1,,,,,PH806,I207,,,INBRED,,,,,,
3422,PHW03,PI601790,ExPVP,stiff stalk,1,PH801,PHG48,3,1,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8900324,,,,,
,PHW03,,,,,PH801,PHG48,3,1,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8900324,,,,,
3384,PHM57,PI601779,ExPVP,unclassified,1,PH595,PHB97,3,4,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8900313,,,,,
,PHM57,,,,,PH595,PHB97,3,4,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8900313,,,,,
3419,PHV63,PI601500,ExPVP,non-stiff stalk,1,PH555,PHZAP4CB,3,10,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8800039,,,,,
,PHV63,,,,,PH555,PHZAP4CB,3,10,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8800039,,,,,
418,B09_EARLYB37,,,unclassified,0,PH555,PH031,0,5,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8300142,,,,,
,B09_EARLYB37,,,,,PH555,PH031,0,5,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8300142,,,,,
1932,G80,PI601037,ExPVP,stiff stalk,1,PH495,PH331,0,99,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8400128,,,,,
,G80,,,,,PH495,PH331,0,99,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8400128,,,,,
3407,PHR58,PI548805,ExPVP,non-stiff stalk,1989,PH383,PHG16,0,0,PIONEER PVP LINE,http://apps.ams.usda.gov/CMS//AdobeImages/009100099.pdf,,,,,
3356,PHG29,PI601270,ExPVP,non-stiff stalk,1,PH207,PH806,3,10,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8600047,,,,,
405,PHR36_1,,,unclassified,0,PH203,PH549,0,0,INBRED,0,,,,,
,PHR36_1,,,,,PH203,PH549,,,INBRED,,,,,,
428,PHW20_1,,,unclassified,0,PH1D11,PH1M12,0,0,INBRED,0,,,,,
,PHW20_1,,,,,PH1D11,PH1M12,,,INBRED,,,,,,
424,PHW17_1,,,unclassified,0,PH1D11,B73,0,0,INBRED,0,,,,,
,PHW17_1,,,,,PH1D11,B73,,,INBRED,,,,,,
426,PHW17_2,,,unclassified,0,PH051,B73,0,0,BC1,0,,,,,
,PHW17_2,,,,,PH051,B73,,,BC1,,,,,,
3392,PHN73,PI601782,ExPVP,non-stiff stalk,1,PH041,PHG35,3,4,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8900316,,,,,
,PHN73,,,,,PH041,PHG35,3,4,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8900316,,,,,
3354,PHG47,PI601318,ExPVP,non-stiff stalk,1,PH041,MKSDTE10,3,4,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8600131,,,,,
,PHG47,,,,,PH041,MKSDTE10,3,4,PIONEER PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8600131,,,,,
3406,PHR55,PI548804,ExPVP,non-stiff stalk,1989,PH005,PHG84,0,0,PIONEER PVP LINE,http://apps.ams.usda.gov/CMS//AdobeImages/009100098.pdf,,,,,
2848,C105,,,,,PF626,PhYD25,,,Inbred,Purple Flour No. 626 X Ohio yellow dent inbred No. 25,,,,,
3625,SC343,NSL53091,Other,unclassified,0,PeeDee,Young,0,0,INBRED,Pee Dee (5) X Young,,,,,
1967,GEMN-0034,Ames26439,GEM,unclassified,0,PE001,0,0,0,0,0,,,,,
1971,GEMN-0038,Ames26443,GEM,unclassified,0,PE001,0,0,0,0,0,,,,,
1396,CI82B,Ames26135,Other,unclassified,0,Pd2287-1,R39,0,0,INBRED, ,,,,,
3349,PB80,PI601441,ExPVP,stiff stalk,1,PB80_7,B73HT,0,2,DEKALB PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700174,,,,,
,PB80,,,,,PB80_7,B73HT,0,2,DEKALB PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700174,,,,,
361,PB80_7,,,unclassified,0,PB80_6,B73HT,0,0,BC5,0,,,,,
,PB80_7,,,,,PB80_6,B73HT,,,BC5,,,,,,
360,PB80_6,,,unclassified,0,PB80_5,B73HT,0,0,BC4,0,,,,,
,PB80_6,,,,,PB80_5,B73HT,,,BC4,,,,,,
359,PB80_5,,,unclassified,0,PB80_4,B73HT,0,0,BC3,0,,,,,
,PB80_5,,,,,PB80_4,B73HT,,,BC3,,,,,,
358,PB80_4,,,unclassified,0,PB80_3,B73HT,0,0,BC2,0,,,,,
,PB80_4,,,,,PB80_3,B73HT,,,BC2,,,,,,
357,PB80_3,,,unclassified,0,PB80_2,B73HT,0,0,BC1,0,,,,,
,PB80_3,,,,,PB80_2,B73HT,,,BC1,,,,,,
356,PB80_2,,,unclassified,0,PB80_1,B73HT,0,0,PARENTAL CROSS,0,,,,,
,PB80_2,,,,,PB80_1,B73HT,,,PARENTAL CROSS,,,,,,
597,2FACC,PI601808,ExPVP,stiff stalk,1,PB80,1061,3,1,DEKALB PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=9000016,,,,,
,2FACC,,,,,PB80,1061,3,1,DEKALB PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=9000016,,,,,
3340,Pa875,Ames27185,Other,stiff stalk,0,PAWF9,PAWF9,0,0,0,0,,,,,
3336,Pa860,PI560082,Other,unclassified,0,PAWF9,PAWF9,0,0,INBRED,0,,,,,
3341,Pa877,PI517972,Other,stiff stalk,1988,PAWF9,PAWF9,0,0,INBRED,0,,,,,
3342,Pa879,PI517973,Other,stiff stalk,1988,PAWF9,PAWF9,0,0,INBRED,0,,,,,
3343,Pa880,PI517974,Other,unclassified,1988,PAWF9,PAWF9,0,0,INBRED,0,,,,,
2813,MR15PalomerodeJaliscoS6,Landraces,Other,landraces,0,PalomerodeJalisco,PalomerodeJalisco,0,0, ,0,,,,,
3567,PAG1202,,,,,PAG330,0,,,INBRED,,,,,,
3568,RS710,PI539930,ExPVP,unclassified,1990,PAG1202,A641,0,0,INBRED,http://apps.ams.usda.gov/CMS//AdobeImages/009000129.pdf,,,,,
1079,AR270,PI561531,Other,unclassified,0,PAG120003,PAG12003,0,0,INBRED,Self from a PAG hybrid of unknown pedigree,,,,,
3316,Pa356,PI531081,Other,non-stiff stalk,1988,PAEVR,PAEVR,0,0,INBRED,0,,,,,
3317,Pa376,PI531082,Other,non-stiff stalk,1988,PAEVR,PAEVR,0,0,INBRED,0,,,,,
3318,Pa392,PI517968,Other,non-stiff stalk,1988,PAEVR,PAEVR,0,0,INBRED,0,,,,,
240,Pa91,PI587147,Other,unclassified,1,PA91_2,PA91_3,3,1,INBRED,0,,,,,
,PA91,,,,,PA91_2,PA91_3,3,1,INBRED,,,,,,
238,PA91_2,,,unclassified,0,PA91_1,Nov-38,0,0,F1 CROSS SEFLED 4 GENERATIONS,0,,,,,
,PA91_2,,,,,PA91_1,Nov-38,,,F1 CROSS SEFLED 4 GENERATIONS,,,,,,
3344,Pa891_1,,,,,Pa91,T226,,,Breeding Cross,,,,,,
3345,Pa891,PI531083,Other,non-stiff stalk,0,Pa91,Pa891_1,0,0,INBRED,[(Pa91 X T226) self 2] Pa91,,,,,
3348,Pa91HT3,Ames25374,Other,stiff stalk,0,Pa91,Ht3source,0,0,INBRED,0,,,,,
3347,Pa91HT2,Ames25373,Other,unclassified,0,Pa91,Ht2source,0,0,INBRED,0,,,,,
3346,Pa91HT1,Ames25372,Other,stiff stalk,0,Pa91,Ht1source,0,0,INBRED,0,,,,,
354,PA884P_6,,,unclassified,0,PA884P_5,B14A,0,0,PARENTAL CROSS,0,,,,,
,PA884P_6,,,,,PA884P_5,B14A,,,PARENTAL CROSS,,,,,,
353,PA884P_5,,,unclassified,0,PA884P_4,PA884P_4,0,0,PARENTAL CROSS,0,,,,,
,PA884P_5,,,,,PA884P_4,PA884P_4,,,PARENTAL CROSS,,,,,,
355,PA884P,,,unclassified,0,PA884P_3,PA884_6,3,1,INBRED,0,,,,,
,PA884P,,,,,PA884P_3,PA884_6,3,1,INBRED,,,,,,
350,PA884P_3,,,unclassified,0,PA884P_2,OS420,0,0,PARENTAL CROSS,0,,,,,
,PA884P_3,,,,,PA884P_2,OS420,,,PARENTAL CROSS,,,,,,
349,PA884P_2,,,unclassified,0,PA884P_1,PA884P_1,0,0,SELF,0,,,,,
,PA884P_2,,,,,PA884P_1,PA884P_1,,,SELF,,,,,,
3334,Pa778,PI560081,Other,non-stiff stalk,0,Pa778_2,C103Ht1,0,0,INBRED,0,,,,,
3328,Pa759,PI560074,Other,unclassified,1992,PA761,Pa759_6,0,0,INBRED,,,,,,
3329,Pa760,PI560075,Other,unclassified,1992,PA761,Pa759_6,0,0,INBRED,0,,,,,
3327,Pa759_6,,,,,PA761,Pa759_5,,,BC5,,,,,,
3326,Pa759_5,,,,,PA761,Pa759_4,,,BC4,,,,,,
3325,Pa759_4,,,,,PA761,Pa759_3,,,BC3,,,,,,
3324,Pa759_3,,,,,PA761,Pa759_2,,,BC2,,,,,,
3323,Pa759_2,,,,,PA761,Pa759_1,,,BC1,,,,,,
3322,Pa759_1,,,,,PA761,H73,,,Breeding Cross,,,,,,
751,H76,,,,,P8,H76_1,,,INBRED,,,,,,
750,H76_1,,,,,P8,Chase214,,,F1 breeding cross,,,,,,
1686,CML493,CML493,Mexico,tropical,0,P66,0,0,0,INBRED,P66C1HC22-2-5Œ‡2-BBBB-3-BB,,,,,
1683,CML490,CML490,Mexico,tropical,0,P63,0,0,0,INBRED,P63C2HC161-1-3-BB-2-BB-2.B,,,,,
1685,CML492,CML492,Mexico,tropical,0,P62,0,0,0,INBRED,P62C3HC163-3-3-3-2-#-1-1-2-BB,,,,,
1677,CML483,CML483,Mexico,tropical,0,P502,0,0,0,INBRED,P502c2-16-2-2-1-3-B-I-B-B,,,,,
1680,CML486,CML486,Mexico,tropical,0,p45,0,0,0,INBRED,POB.45c8-76-1-2-1-2-B-B-B-B,,,,,
1621,CML375,Ames30860,Mexico,tropical,0,P44C9,0,0,0,INBRED,P44C9FS158-3-2-4-2-B-B-1-B-B,,,,,
1619,CML373,CML373,Mexico,tropical,0,P43SR,0,0,0,INBRED,P43SR-4-1-1-2-1-B-8-1-B-B-B,,,,,
1620,CML374,CML374,Mexico,tropical,0,P43SR,0,0,0,INBRED,P43SR-177-1-1Œ‡2-1-5-2-3-B-B,,,,,
1687,CML494,CML494,Mexico,tropical,0,P43 ,0,0,0,INBRED,LPSC4F7-1-2-2-2-2-BBB,,,,,
606,3IBZ2,PI554616,ExPVP,unclassified,0,P3981,P3990,0,0,DEKALB  PVP  LINE,http://apps.ams.usda.gov/CMS//AdobeImages/009100223.pdf,,,,,
2617,LH85,PI601405,ExPVP,non-stiff stalk,1,P3978,P3978,0,3,Holdens PVP Line,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700088,,,,,
,LH85,,,,,P3978,P3978,0,3,Holdens PVP Line,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700088,,,,,
3307,OQ101,PI559919,ExPVP,unclassified,1989,P3906,ND246,0,0,INBRED,http://apps.ams.usda.gov/CMS//AdobeImages/009200062.pdf United AgriSeeds,,,,,
2549,L127,PI601726,ExPVP,non-stiff stalk,0,P3901,W117,0,0,INBRED,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8900201,,,,,
2550,L135,PI601727,ExPVP,non-stiff stalk,0,P3901,W117,0,0,INBRED,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8900202,,,,,
594,29MIBZ2_1,,DeKalb,unclassified,,P3901,P3901,,,Dekalb inbred selfed out of Pioneer Hybrid P3901,,,,,,
2470,J6,,,,,P3901,P3901,,,INBRED,Dekalb Inbred self from Pioneer hybrid P3901,,,,,
2552,L139,PI601728,ExPVP,non-stiff stalk,0,P3901,P3780,0,0,INBRED,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8900203,,,,,
3309,OQ403,PI559920,ExPVP,unclassified,1987,P3901,K81_336,0,0,INBRED,http://apps.ams.usda.gov/CMS//AdobeImages/009200063.pdf United AgriSeeds,,,,,
2464,IB014_1,,,unclassified,0,P3901,H99,0,0,Breeding Cross,0,,,,,
,IB014_1,,,,,P3901,H99,,,PARENTAL CROSS,,,,,,
3313,OS602,PI559921,ExPVP,unclassified,1986,P3901,CM105,0,0,INBRED,http://apps.ams.usda.gov/CMS//AdobeImages/009200064.pdf,,,,,
2793,MQ305,PI559917,ExPVP,unclassified,1989,P3901,CB59G,0,0,INBRED,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=9200060,,,,,
2553,L155,PI550695,ExPVP,unclassified,0,P3901,A632 ,0,0,INBRED,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=9100163,,,,,
179,IBI,,,unclassified,0,P3901,3901,0,0,PIONEER HYBRID 3901 SELF,0,,,,,
,IBI,,,,,P3901,3901,,,PIONEER HYBRID 3901 SELF,,,,,,
2889,MS80,Ames24720,Michigan,unclassified,1969,P373,P373,0,0,INBRED,0,,,,,
2578,LH163,PI538008,ExPVP,unclassified,0,P3720,P3720,0,0,Holdens PVP Line,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=9000065,,,,,
3310,OQ603,PI601584,ExPVP,unclassified,1989,P3713,P3713,0,0,INBRED,http://apps.ams.usda.gov/CMS//AdobeImages/008800150.pdf,,,,,
3246,NQ508,PI559918,Other,unclassified,1,P3713,0,3,1,United AgriSeeds,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=9200061,Certificate Abandoned,,,,
2469,IBB14,PI601565,ExPVP,stiff stalk,0,P3710,P3732,0,0,DEKALB PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8800192,,,,,
3660,SD102,PI533659,Other,unclassified,1989,P3710,P3710,0,0,INBRED,Pioneer SX P3710,,,,,
3673,SD40,PI606768,Other,unclassified,1985,P3709,P3709,0,0,INBRED, ,,,,,
3682,SD46,PI524970,Other,unclassified,1989,P3709,P3709,0,0,INBRED,0,,,,,
1689,CML496,CML496,Mexico,tropical,0,P36,0,0,0,INBRED,P36C9F90-B-5-B*7,,,,,
3680,SD30,,,,,P3558,P3558,,,INBRED,,,,,,
2564,LH123HT,PI601079,ExPVP,non-stiff stalk,1,P3535,P3535,3,2,Holdens PVP Line,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8400030,,,,,
2566,LH122,,,,,P3535,P3535,,,INBRED,Self from Pioneer Hybrid 3535,,,,,
,LH123HT,,,,,P3535,P3535,3,2,Holdens PVP Line,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8400030,,,,,
3439,Q381,PI601190,ExPVP,stiff stalk,1984,P3369,0,0,0,INBRED,http://apps.ams.usda.gov/CMS//AdobeImages/008500098.pdf,Self 'off type' plant in a field of Pioneer Hybrid P3369,,,,
300,LH7_1,,,unclassified,0,P3358,N22A,0,0,PARENTAL CROSS,0,,,,,
,LH7_1,,,,,P3358,N22A,,,PARENTAL CROSS,,,,,,
2471,,,,,,P3306,P3306,,,INBRED,Dekalb Inbred self from Pioneer hybrid P3306,,,,,
2317,HBA1,PI601172,ExPVP,unclassified,1,P3195,P3199,1,4,DEKALB PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8500069,,,,,
,HBA1,,,,,P3195,P3199,1,4,DEKALB PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8500069,,,,,
2573,LH150,PI601230,Other,unclassified,1,P3147,P3147,3,12,Holdens PVP Line,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8500153,,,,,
,LH150,,,,,P3147,P3147,3,12,Holdens PVP Line,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8500153,,,,,
1773,DE2,PI606330,Other,non-stiff stalk,0,P3140,P3751,0,0,INBRED,P3140XP3751/98-3-2-1-1-1,,,,,
1772,DE1,PI606329,Other,unclassified,0,P3140,P3751,0,0,INBRED,P3140XP3751/98-3-2-2-2-3,,,,,
1645,CML421,CML421,Mexico,tropical,0,P31,0,0,0,INBRED,P31DMR#1-55-2-3-1-BBBB,,,,,
3111,NC340_2,,,,,P306A,H5,,,Breeding Cross,,,,,,
3108,NC338_2,,,,,P304B,Agroceres504,,,Breeding Cross,,,,,,
1672,CML476,CML476,Mexico,tropical,0,P21,0,0,0,INBRED,P21(MRRS)C1-525-1-B*11,MRRS=Modified reciprocal recurrent selection,,,,
1627,CML380,CML380,Mexico,tropical,0,P0p501,0,0,0,INBRED,P501c1#-303-1-1-2-2-1-5-B,,,,,
602,Nov-38,Ames26604,Other,unclassified,1,Outcross in line from 176A,Outcross in line from 176A,1,5,INBRED OC176A SELFED,0,,,,,
,Nov-38,,,,,Outcross in line from 176A,Outcross in line from 176A,1,5,INBRED OC176A SELFED,,,,,,
121,W85,,,unclassified,0,OttawaFlintBB85 ,OttawaFlintBB85 ,0,0,INBRED     ,0,,,,,
,W85,,,,,OttawaFlintBB85 ,OttawaFlintBB85 ,,,INBRED     ,,,,,,
18,A26,,,unclassified,0,OsterlandYellowDent,OsterlandYellowDent,0,0,INBRED,0,,,,,
4038,WR3,NSL30066,Wisconsin,unclassified,0,OsterlandYellowDent,OsterlandYellowDent,0,0,INBRED,0,,,,,
3311,Os420,NSL65874,Other,stiff stalk,1,OsterlandReidsYellowDent,OsterlandReidsYellowDent,0,3,INBRED,0,,,,,
3312,Os426,Ames22756,Other,stiff stalk,1,OsterlandReidsYellowDent,OsterlandReidsYellowDent,1,1,INBRED,0,,,,,
,OS420,,,,,OsterlandReidsYellowDent,OsterlandReidsYellowDent,0,3,INBRED,,,,,,
,OS426,,,,,OsterlandReidsYellowDent,OsterlandReidsYellowDent,1,1,INBRED,,,,,,
,A26,,,,,Osterland Yellow Dent,Osterland Yellow Dent,,,INBRED,,,,,,
1357,CI30,Ames26124,Other,unclassified,0,Os420,NC34,0,0,INBRED,0,,,,,
1365,CI40A,CIze40,Other,unclassified,0,Os420,CI23,0,0,INBRED,"Pedigree for CI40, CI40A and CI40H likely some version of CI40",,,,,
1366,CI40H,Ames26128,Other,unclassified,0,Os420,CI23,0,0,INBRED,0,,,,,
128,643,,,unclassified,0,OPyellowvariety,OPyellowvariety,0,0,Inbred 643 likely a Wisconsin inbred 643?,0,,,,,
,643,,,,,OPyellowvariety,OPyellowvariety,,,Inbred 643 likely a Wisconsin inbred 643?,,,,,,
2656,Mo15W,PI558518,Missouri,unclassified,0,OPPipeCorn,OPPipeCorn,0,0,INBRED,0,,,,,
2657,Mo16W,PI558531,Missouri,unclassified,0,OPPipeCorn,OPPipeCorn,0,0,INBRED,0,,,,,
2784,Mp710,PI596627,Other,unclassified,1998,OldRaccoon,OldRaccoon,0,0,INBRED,open pollinated variety Old Raccoon (PI 540778),,,,,
849,OH93,,,,,OhioLowEar ,IllinoisLowEar,,,,This is the pedigree for OH93C - a reselection of OH93?,,,,,
3305,Oh84,NSL28968,Other,unclassified,0,OhER,OhER,0,0,INBRED, ,,,,,
3289,Oh603,PI573098,Other,unclassified,1994,OhCBTF,OhCBTF,0,0,INBRED,,,,,,
3296,Oh605,PI639111,Other,unclassified,0,Oh605_1,W552,0,0,INBRED,,,,,,
3670,SD15_1,,,,,Oh56A,SilverKing,,,Breeding Cross,,,,,,
3671,SD15,NSL34374,Other,unclassified,1964,Oh56A,SD15_1,0,0,INBRED,Oh56A X Silver King)Oh56A,,,,,
3283,Oh56A_1,,,,,Oh56,WF9,,,Breeding Cross,,,,,,
3284,Oh56A,NSL28967,Other,unclassified,0,Oh56,Oh56A_1,0,0,INBRED,[(Oh56 X Wf9) Oh56],,,,,
3287,Oh599,PI572413,Other,unclassified,1993,Oh559_1,Oh551,0,0,INBRED,Va17/Oh551//Oh551,,,,,
341,OH565_6,,,unclassified,0,OH545_4,OH545_5,0,0,PARENTAL CROSS,0,,,,,
,OH565_6,,,,,OH545_4,OH545_5,,,PARENTAL CROSS,,,,,,
342,Oh545,,,unclassified,0,OH545_3,OH545_6,0,4,INBRED,0,,,,,
,Oh545,,,,,OH545_3,OH545_6,0,4,INBRED,,,,,,
340,OH545_5,,,unclassified,0,OH545_2,OH45A,0,0,PARENTAL CROSS,0,,,,,
,OH545_5,,,,,OH545_2,OH45A,,,PARENTAL CROSS,,,,,,
337,OH545_3,,,unclassified,0,OH545_2,OH45,0,0,BC1,0,,,,,
,OH545_3,,,,,OH545_2,OH45,,,BC1,,,,,,
331,OH45A_1,,,unclassified,0,OH545_1,OH545_1,0,0,SELF(S1),0,,,,,
,OH45A_1,,,,,OH545_1,OH545_1,,,SELF(S1),,,,,,
336,OH545_2,,,unclassified,0,OH545_1,OH45,0,0,PARENTAL CROSS,0,,,,,
,OH545_2,,,,,OH545_1,OH45,,,PARENTAL CROSS,,,,,,
2363,Hi33_1,,,,,Oh545,HiMVsource,,,Breeding Cross,,,,,,
1761,CS608_1,,,,,OH541,B68Ht,,,Breeding cross,,,,,,
259,Oh51A,Ames23922,Other,unclassified,1,OH51A_1,OH51,2,5,INBRED,0,,,,,
,OH51A,,,,,OH51A_1,OH51,2,5,INBRED,,,,,,
3203,ND408,NSL32734,North Dakota,unclassified,1,Oh51A,ND230,3,4,INBRED,0,,,,,
3214,ND407_1,,,,,Oh51A,ND230,,,Breeding Cross,,,,,,
,ND408,,,,,Oh51A,ND230,3,4,INBRED,,,,,,
2238,Oh514,,,,,Oh514_1,B14,,,INBRED,,,,,,
339,OH545_4,,,unclassified,0,OH45T4,CashSynthetic,0,0,PARENTAL CROSS,0,,,,,
,OH545_4,,,,,OH45T4,CashSynthetic,,,PARENTAL CROSS,,,,,,
335,OH45A,,,unclassified,0,OH45A_4,OH45,0,0,INBRED,0,,,,,
,OH45A,,,,,OH45A_4,OH45,,,INBRED,,,,,,
334,OH45A_4,,,unclassified,0,OH45A_3,OH45A_3,0,0,SELF(S4),0,,,,,
,OH45A_4,,,,,OH45A_3,OH45A_3,,,SELF(S4),,,,,,
333,OH45A_3,,,unclassified,0,OH45A_2,OH45A_2,0,0,SELF(S3),0,,,,,
,OH45A_3,,,,,OH45A_2,OH45A_2,,,SELF(S3),,,,,,
332,OH45A_2,,,unclassified,0,OH45A_1,OH45A_1,0,0,SELF(S2),0,,,,,
,OH45A_2,,,,,OH45A_1,OH45A_1,,,SELF(S2),,,,,,
1219,B55,PI608764,Iowa,unclassified,1963,OH45,W92,2,2,INBRED,0,,,,,
,B55,,,,,OH45,W92,2,2,INBRED,,,,,,
2229,H98,Ames26798,Indiana,unclassified,1,OH45,HY,2,5,INBRED,0,,,,,
,H98,,,,,OH45,HY,2,5,INBRED,,,,,,
315,H4101,,,unclassified,0,OH45,C103,0,0,F1 PARENTAL CROSS,0,,,,,
,H4101,,,,,OH45,C103,,,F1 PARENTAL CROSS,,,,,,
338,OH45T4,,,unclassified,0,OH45,0,0,0,INBRED,0,,,,,
,OH45T4,,,,,OH45,0,,,INBRED,,,,,,
3493,R219,NSL29314,Illinois,unclassified,0,Oh43,R219_3,0,0,INBRED,(W22R x Ht1B) Oh43 BC2,,,,,
3492,R219_3,,,,,Oh43,R219_2,,,BC1,,,,,,
3491,R219_2,,,,,Oh43,R219_1,,,Breeding Cross,,,,,,
3489,R218,NSL29305,Illinois,unclassified,0,Oh43,R218_3,0,0,INBRED,(W22R X Ht1A) Oh43 BC2,,,,,
3488,R218_3,,,,,Oh43,R218_2,,,BC1,,,,,,
3487,R218_2,,,,,Oh43,R218_1,,,Breeding Cross,,,,,,
3982,Va26,PI587149,Other,non-stiff stalk,1,OH43,K155,2,3,INBRED,0,,,,,
,VA26,,,,,OH43,K155,2,3,INBRED,,,,,,
2202,H88,Ames26795,Indiana,unclassified,0,Oh43,CI90A,0,0,INBRED,0,,,,,
3330,Pa762,Ames27184,Other,non-stiff stalk,1970,Oh43, Pa70L,2,5,INBRED,0,,,,,
,PA762,,,,,Oh43, Pa70L,2,5,INBRED,,,,,,
1247,B86,PI608778,Iowa,unclassified,1979,OH43, B52,0,0,INBRED,0,,,,,
3277,Oh43E,Ames27183,Other,non-stiff stalk,0,Oh43,0,0,0,INBRED,0,,,,,
3278,Oh43sh2,Ames26766,Wisconsin,non-stiff stalk,0,Oh43,0,0,0,INBRED,0,,,,,
3279,Oh43su,Ames26765,Other,non-stiff stalk,0,Oh43,0,0,0,INBRED,0,,,,,
3280,Oh43T,Ames19289,Other,non-stiff stalk,0,Oh43,0,0,0,INBRED,0,,,,,
3281,Oh43TRf,Ames19290,Other,non-stiff stalk,0,Oh43,0,0,0,INBRED,0,,,,,
180,7309B,,,unclassified,0,OH43,0,0,0,DEKALB VERSION OF INBRED OH43,0,,,,,
,7309B,,,,,OH43,0,,,DEKALB VERSION OF INBRED OH43,,,,,,
3302,Oh07K_1,,,,,Oh41,38_11,,,Breeding Cross,,,,,,
3565,R941,NSL29287,Illinois,unclassified,0,Oh41,0,0,0,INBRED,Recovered br2 Oh41,,,,,
3274,Oh40B,NSL28966,Other,non-stiff stalk,1,OH40B_1,0,0,0,INBRED,0,,,,,
,OH40B,,,,,OH40B_1,0,,,INBRED,,,,,,
2893,MS92_1,,,,,Oh40B ,R53,,,Breeding Cross,,,,,,
2827,MS100_1,,,,,Oh40B ,38_11,,,Breeding Cross,,,,,,
77,OH45,,,unclassified,0,Oh40B,W8,0,0,INBRED,0,,,,,
,OH45,,,,,Oh40B,W8,,,INBRED,,,,,,
347,PA70L,,,unclassified,0,OH40B,0,0,0,INBRED SELECTION OUT OF OH40B,0,,,,,
,PA70L,,,,,OH40B,0,,,INBRED SELECTION OUT OF OH40B,,,,,,
255,Oh28,NSL91618,Other,unclassified,1,OH28_1,OH28_2,0,0,INBRED,0,,,,,
,OH28,,,,,OH28_1,OH28_2,,,INBRED,,,,,,
261,H60_2,,,unclassified,0,Oh28 ,Oh51A,0,0,F1 PARENTAL CROSS,0,,,,,
,H60_2,,,,,Oh28 ,Oh51A,,,F1 PARENTAL CROSS,,,,,,
