"","taxon","genus","species","spauthor","subtaxa","subtauthor","cropname","avail","instcode","accenumb","acckey","collnumb","collcode","taxno","accename","acqdate","origcty","collsite","latitude","longitude","elevation","colldate","bredcode","sampstat","ancest","collsrc","donorcode","donornumb","othernumb","duplsite","storage","latdec","longdec","remarks","history","released","Accesion.N","references","paper","date","Inbred.line","N.GBS.samples","N.Plants","Avg..IBS","X..missing","Breeding.program","Pop.structure","Year","Registration.","Source"
"915","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 30969",1878589,"",NA,311987,"GEMN-0187","20110525","","","","",NA,"",NA,400,"ANTIG03:N1218-056-001-B-B-SIB",40,NA,"",":GEMN-0187;:09GEM07815;USA126:Ames 30969","","10",NA,NA,"","DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS","","Ames30969","","","","GEMN-0187",1,1,NA,0.84,"GEM","unclassified",NA,NA,NA
"916","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 30970",1878590,"",NA,311987,"GEMS-0188","20110525","","","","",NA,"",NA,400,"DKXL212:S0912-012-001-B-B-SIB",40,NA,"",":GEMS-0188;:09GEM07816;USA126:Ames 30970","","10",NA,NA,"","DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS","","Ames30970","","","","GEMS-0188",1,1,NA,0.89,"GEM","unclassified",NA,NA,NA
"917","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 30971",1878591,"",NA,311987,"GEMS-0189","20110525","","","","",NA,"",NA,400,"DKXL212:S0912-117-001-B-B-SIB",40,NA,"",":GEMS-0189;:09GEM07817;USA126:Ames 30971","","10",NA,NA,"","DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS","","Ames30971","","","","GEMS-0189",1,1,NA,0.76,"GEM","unclassified",NA,NA,NA
"918","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 30972",1878592,"",NA,311987,"GEMN-0190","20110525","","","","",NA,"",NA,400,"PASCO14:N0424-078-001-B-B-SIB",40,NA,"",":GEMN-0190;:09GEM07818;USA126:Ames 30972","","10",NA,NA,"","DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS","","Ames30972","","","","GEMN-0190",1,1,NA,0.8,"GEM","unclassified",NA,NA,NA
"919","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 30973",1878593,"",NA,311987,"GEMN-0191","20110525","","","","",NA,"",NA,400,"SCROGP3:N2017-003-001-B-B-SIB",40,NA,"",":GEMN-0191;:09GEM07819;USA126:Ames 30973","","10",NA,NA,"","DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS","","Ames30973","","","","GEMN-0191",1,1,NA,0.84,"GEM","unclassified",NA,NA,NA
"920","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 30974",1878594,"",NA,311987,"GEMN-0192","20110525","","","","",NA,"",NA,400,"SCROGP3:N2017-172-001-B-B-SIB",40,NA,"",":GEMN-0192;:09GEM07820;USA126:Ames 30974","","10",NA,NA,"","DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS","","Ames30974","","","","GEMN-0192",1,1,NA,0.8,"GEM","unclassified",NA,NA,NA
"921","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 30975",1878595,"",NA,311987,"GEMN-0193","20110525","","","","",NA,"",NA,400,"UR11002:N0308b-086-001-B-B-SIB",40,NA,"",":GEMN-0193;:09GEM07821;USA126:Ames 30975","","10",NA,NA,"","DONATED  05/25/2011 Iowa, United States by Blanco, M., USDA, ARS. DEVELOPED PRE 05/25/2011 Iowa, United States by Blanco, M., USDA, ARS","","Ames30975","","","","GEMN-0193",1,1,NA,0.77,"GEM","unclassified",NA,NA,NA
"922","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31233",1896712,"",NA,311987,"GEMN-0164","20111221","","","","",NA,"",NA,400,"DK212T:N11-B-003-022-B-B-B",40,NA,"",":GEMN-0164;USA126:Ames 31233;:2611-blk/07;:DK212T:N11-B-003-022-B-B-B;:2011 Row: 2625-2634-blk/11","","10",NA,NA,"","DEVELOPED  2007 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31233","","","","GEMN-0164",1,1,NA,0.73,"GEM","unclassified",NA,NA,NA
"923","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31234",1896713,"",NA,311987,"GEMN-0165","20111221","","","","",NA,"",NA,400,"DK888:N11(95)-B-022-001-026-B-B",40,NA,"",":GEMN-0165;USA126:Ames 31234;:DK888:N11(95)-B-022-001-026-B-B;:2011 Row: 2635-2644-blk/11","","10",NA,NA,"","DEVELOPED  2007 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31234","","","","GEMN-0165",1,1,NA,0.79,"GEM","unclassified",NA,NA,NA
"924","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31235",1896714,"",NA,311987,"GEMN-0166","20111221","","","","",NA,"",NA,400,"DK888:N11(95)-B-027-001-008-B-B",40,NA,"",":GEMN-0166;USA126:Ames 31235;:2011 Row: 2645-2654-blk/11;:DK888:N11(95)-B-027-001-008-B-B","","10",NA,NA,"","DEVELOPED  2007 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31235","","","","GEMN-0166",1,1,NA,0.81,"GEM","unclassified",NA,NA,NA
"925","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31236",1896715,"",NA,311987,"GEMN-0167","20111221","","","","",NA,"",NA,400,"DK888:N11(95)-B-027-001-018-B-B",40,NA,"",":GEMN-0167;USA126:Ames 31236;:2011 Row: 2655-2664-blk/11;:DK888:N11(95)-B-027-001-018-B-B","","10",NA,NA,"","DEVELOPED  2007 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31236","","","","GEMN-0167",1,1,NA,0.9,"GEM","unclassified",NA,NA,NA
"926","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31237",1896716,"",NA,311987,"GEMN-0168","20111221","","","","",NA,"",NA,400,"DK888:N11(95)-B-027-001-019-B",40,NA,"",":GEMN-0168;USA126:Ames 31237;:2011 Row: 2665-2674-blk/11;:DK888:N11(95)-B-027-001-019-B","","10",NA,NA,"","DEVELOPED  2007 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31237","","","","GEMN-0168",1,1,NA,0.81,"GEM","unclassified",NA,NA,NA
"927","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31238",1896717,"",NA,311987,"GEMN-0169","20111221","","","","",NA,"",NA,400,"DK888:N11(95)-B-027-001-027-B",40,NA,"",":GEMN-0169;USA126:Ames 31238;:2011 Row: 2675-2684-blk/11;:DK888:N11(95)-B-027-001-027-B","","10",NA,NA,"","DEVELOPED  2007 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31238","","","","GEMN-0169",1,1,NA,0.78,"GEM","unclassified",NA,NA,NA
"928","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31239",1896718,"",NA,311987,"GEMN-0170","20111221","","","","",NA,"",NA,400,"DK888:N11(95)-B-027-001-030-B",40,NA,"",":GEMN-0170;USA126:Ames 31239;:2011 Row: 2685-2694-blk/11;:DK888:N11(95)-B-027-001-030-B","","10",NA,NA,"","DEVELOPED  2007 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31239","","","","GEMN-0170",1,1,NA,0.78,"GEM","unclassified",NA,NA,NA
"929","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31240",1896719,"",NA,311987,"GEMN-0172","20111221","","","","",NA,"",NA,400,"DK888:N11(95)-B-027-001-040-B",40,NA,"",":GEMN-0172;USA126:Ames 31240;:2011 Row: 2705-2714-blk/11;:DK888:N11(95)-B-027-001-040-B","","10",NA,NA,"","DEVELOPED  2007 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31240","","","","GEMN-0172",1,1,NA,0.75,"GEM","unclassified",NA,NA,NA
"930","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31241",1896720,"",NA,311987,"GEMN-0173","20111221","","","","",NA,"",NA,400,"DK888:N11(95)-B-027-012-009-B",40,NA,"",":GEMN-0173;USA126:Ames 31241;:DK888:N11(95)-B-027-012-009-B-B;:2012 Row: 3161-3180;:2011 Row: 2715-2724-blk/11;:DK888:N11(95)-B-027-012-009-B","","10",NA,NA,"","DEVELOPED  2007 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31241","","","","GEMN-0173",1,1,NA,0.81,"GEM","unclassified",NA,NA,NA
"931","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31242",1896721,"",NA,311987,"GEMN-0207","20111221","","","","",NA,"",NA,400,"BR51403(PE001):N16-B-44-4-1-1C-1-B",40,NA,"",":GEMN-0207;USA126:Ames 31242;:2010 Row: 5661-5670-blk/10;:BR51403(PE001):N16-B-44-4-1-1C-1-B","","10",NA,NA,"","DEVELOPED  2010 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31242","","","","GEMN-0207",1,1,NA,0.81,"GEM","unclassified",NA,NA,NA
"932","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31243",1896722,"",NA,311987,"GEMN-0208","20111221","","","","",NA,"",NA,400,"BR51403(PE001):N16-B-44-4-1-2G-3-B",40,NA,"",":GEMN-0208;USA126:Ames 31243;:2010 Row: 5671-5680-blk/10;:BR51403(PE001):N16-B-44-4-1-2G-3-B","","10",NA,NA,"","DEVELOPED  2010 North Carolina, United States by. DONATED  12/21/2011  by","","Ames31243","","","","GEMN-0208",1,1,NA,0.81,"GEM","unclassified",NA,NA,NA
"933","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31244",1896723,"",NA,311987,"GEMN-0209","20111221","","","","",NA,"",NA,400,"BR51721(RN07):N20-B-17-2-B",40,NA,"",":GEMN-0209;USA126:Ames 31244;:2010 Row: 5681-5690-blk/10;:BR51721(RN07):N20-B-17-2-B","","10",NA,NA,"","DEVELOPED  2010 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31244","","","","GEMN-0209",1,1,NA,0.85,"GEM","unclassified",NA,NA,NA
"934","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31245",1896724,"",NA,311987,"GEMN-0210","20111221","","","","",NA,"",NA,400,"CL-G1607(CML420):N11-8-1-7-B",40,NA,"",":GEMN-0210;USA126:Ames 31245;:2010 Row: 5691-5700-blk/10;:CL-G1607(CML420):N11-8-1-7-B","","10",NA,NA,"","DEVELOPED  2010 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31245","","","","GEMN-0210",1,1,NA,0.78,"GEM","unclassified",NA,NA,NA
"935","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31246",1896725,"",NA,311987,"GEMN-0212","20111221","","","","",NA,"",NA,400,"DK888:N11-B-27-12-B-7-B",40,NA,"",":GEMN-0212;USA126:Ames 31246;:2010 Row: 5701-5710-blk/10;:DK888:N11-B-27-12-B-7-B","","10",NA,NA,"","DEVELOPED  2010 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31246","","","","GEMN-0212",1,1,NA,0.83,"GEM","unclassified",NA,NA,NA
"936","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31247",1896726,"",NA,311987,"GEMN-0213","20111221","","","","",NA,"",NA,400,"DKXL380:N11-B-7-10-B-2-B",40,NA,"",":GEMN-0213;USA126:Ames 31247;:2010 Row: 5711-5720-blk/10;:DKXL380:N11-B-7-10-B-2-B","","10",NA,NA,"","DEVELOPED  2010 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31247","","","","GEMN-0213",1,1,NA,0.86,"GEM","unclassified",NA,NA,NA
"937","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31248",1896727,"",NA,311987,"GEMN-0214","20111221","","","","",NA,"",NA,400,"MDI022:N21-B-2-3-B",40,NA,"",":GEMN-0214;USA126:Ames 31248;:2010 Row: 5721-5730-blk/10;:MDI022:N21-B-2-3-B","","10",NA,NA,"","DEVELOPED  2010 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31248","","","","GEMN-0214",1,1,NA,0.79,"GEM","unclassified",NA,NA,NA
"938","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31249",1896728,"",NA,311987,"GEMS-0215","20111221","","","","",NA,"",NA,400,"NS1:S08-6-1-2-B",40,NA,"",":GEMS-0215;USA126:Ames 31249;:2010 Row: 5731-5740-blk/10;:NS1:S08-6-1-2-B","","10",NA,NA,"","DEVELOPED  2011 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31249","","","","GEMS-0215",1,1,NA,0.77,"GEM","unclassified",NA,NA,NA
"939","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31250",1896729,"",NA,311987,"GEMN-0216","20111221","","","","",NA,"",NA,400,"PASCO14:N11b-B-1-2-B",40,NA,"",":GEMN-0216;USA126:Ames 31250;:2010 Row: 5741-5750-blk/10;:PASCO14:N11b-B-1-2-B","","10",NA,NA,"","DEVELOPED  2011 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31250","","","","GEMN-0216",1,1,NA,0.83,"GEM","unclassified",NA,NA,NA
"940","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31251",1896730,"",NA,311987,"GEMN-0217","20111221","","","","",NA,"",NA,400,"DK888:N11-B-27-1-B-1-B",40,NA,"",":GEMN-0217;USA126:Ames 31251;:DK888:N11-B-27-1-B-1-B;:2010 Row: 5751-5760-blk/10","","10",NA,NA,"","DEVELOPED  2011 North Carolina, United States by. DONATED  12/21/2011 North Carolina, United States by","","Ames31251","","","","GEMN-0217",1,1,NA,0.79,"GEM","unclassified",NA,NA,NA
"941","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31252",1896731,"",NA,311987,"GA224","20111221","","","","",NA,"",NA,400,"Open Pollinated Wf9",40,NA,"",":GA224;USA126:Ames 31252;:2011 Row: 2601-2605-blk/11","","10",NA,NA,"","DEVELOPED  1972 Georgia, United States by Georgia Agr. Exp. Sta. (Athens). DONATED  12/21/2011 North Carolina, United States by Krakowsky, M., USDA, ARS, PSRU","1972","Ames31252","","","","GA224",1,1,NA,0.55,"Other","unclassified",NA,NA,NA
"942","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31482",1901555,"",NA,311987,"GEMS-0199","20120508","","","","",NA,"",NA,400,"AR16021:S0908a-039-001-B-B-SIB",40,NA,"",":GEMS-0199;:10GEM06839;:10SGEM:N10-1:0597;:AR16021:S0908a-039-001-B-B-SIB;USA126:Ames 31482","","10",NA,NA,"","DEVELOPED  2010 Iowa, United States by USDA, ARS. DONATED  05/08/2012 Iowa, United States by USDA, ARS","","Ames31482","","","","GEMS-0199",1,1,NA,0.86,"GEM","unclassified",NA,NA,NA
"943","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31483",1901556,"",NA,311987,"GEMS-0200","20120508","","","","",NA,"",NA,400,"BR105:S1612-008-001-B-B-SIB",40,NA,"",":GEMS-0200;:10SGEM:N10-1:0611;:10GEM06840;:BR105:S1612-008-001-B-B-SIB;USA126:Ames 31483","","10",NA,NA,"","DEVELOPED  2010 Iowa, United States by USDA, ARS. DONATED  05/08/2012 Iowa, United States by USDA, ARS","","Ames31483","","","","GEMS-0200",1,1,NA,0.8,"GEM","unclassified",NA,NA,NA
"944","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31484",1901557,"",NA,311987,"GEMS-0202","20120508","","","","",NA,"",NA,400,"BR105:S1640-128-001-B-B-SIB",40,NA,"",":GEMS-0202;:BR105:S1640-128-001-B-B-SIB;:10SGEM:N10-1:0604;:10GEM06842;USA126:Ames 31484","","10",NA,NA,"","DEVELOPED  2010 Iowa, United States by USDA, ARS. DONATED  05/08/2012 Iowa, United States by USDA, ARS","","Ames31484","","","","GEMS-0202",1,1,NA,0.87,"GEM","unclassified",NA,NA,NA
"945","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31486",1901559,"",NA,311987,"GEMN-0205","20120508","","","","",NA,"",NA,400,"GUAD05:N3215-197-001-B-B-SIB",40,NA,"",":GEMN-0205;:10GEM06845;:10SGEM:N10-1:0590;:GUAD05:N3215-197-001-B-B-SIB;USA126:Ames 31486","","10",NA,NA,"","DEVELOPED  2010 Iowa, United States by USDA, ARS. DONATED  05/08/2012 Iowa, United States by USDA, ARS","","Ames31486","","","","GEMN-0205",1,1,NA,0.89,"GEM","unclassified",NA,NA,NA
"946","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31534",1904930,"",NA,311987,"CI90C Goodman-Buckler","20120810","","","","",NA,"",NA,500,"CI 90C",50,NA,"",":CI90C Goodman-Buckler;USA126:Ames 31534;:Separation from Ames 22440","USA005","10",NA,NA,"","DEVELOPED   United States by. DONATED  04/11/1995 Missouri, United States by Darrah, L., USDA-ARS. DONATED  08/10/2012 Iowa, United States by Millard, M., USDA, ARS","","Ames31534","","","","CI90C",4,3,0.998,0.39,"Other","unclassified",NA,NA,NA
"947","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31536",1904932,"",NA,311987,"A214N Goodman-Buckler","20120813","","","","",NA,"",NA,300,"B68^2.HtN",20,NA,"",":A214N Goodman-Buckler;USA126:Ames 31536;:Separation from PI 406112","USA005","10",NA,NA,"","DONATED  01/09/1976 KwaZulu-Natal, South Africa by Gevers, H., Summer Grain Sub-Centre. DONATED  08/13/2012 Iowa, United States by Millard, M., USDA, ARS","","Ames31536","","","","A214N",6,5,0.986,0.24,"Other","unclassified",NA,NA,NA
"948","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31541",1905186,"",NA,311987,"GEMS-0201","20120924","","","","",NA,"",NA,400,"BR105:S1612-057-001-B-B-SIB and BR105:S1612-057-001-B-B-SIB-SIB",40,NA,"",":GEMS-0201;USA126:Ames 31541;:BR105:S1612-057-001-B-B-SIB;:BR105:S1612-057-001-B-B-SIB-SIB","","10",NA,NA,"","DONATED  09/24/2012 Iowa, United States by Blanco, M., USDA, ARS","","Ames31541","","","","GEMS-0201",1,1,NA,0.89,"GEM","unclassified",NA,NA,NA
"949","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31542",1905187,"",NA,311987,"GEMS-0203","20120924","","","","",NA,"",NA,400,"CUBA164:S2008dF44-012-001-B-B-SIB and CUBA164:S2008dF44-012-001-B-B-SIB-SIB",40,NA,"",":GEMS-0203;USA126:Ames 31542;:CUBA164:S2008dF44-012-001-B-B-SIB;:CUBA164:S2008dF44-012-001-B-B-SIB-SIB","","10",NA,NA,"","DONATED  09/24/2012 Iowa, United States by Blanco, M., USDA, ARS","","Ames31542","","","","GEMS-0203",1,1,NA,0.93,"GEM","unclassified",NA,NA,NA
"950","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31543",1905188,"",NA,311987,"GEMS-0206","20120924","","","","",NA,"",NA,400,"AR16035:S02-615-001-B wx",40,NA,"",":GEMS-0206;USA126:Ames 31543;:AR16035:S02-615-001-B wx","","10",NA,NA,"","DONATED  09/24/2012 Iowa, United States by Blanco, M., USDA, ARS","","Ames31543","","","","GEMS-0206",1,1,NA,0.85,"GEM","unclassified",NA,NA,NA
"951","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31669",1906029,"",NA,311987,"GEMN-0119","20121024","","","","",NA,"",NA,400,"CHS775:N19-042-001-B-B",40,NA,"",":GEMN-0119;USA126:Ames 31669;:CHS775:N19-042-001-B-B;:2012 Row: 3071-3080","","10",NA,NA,"","DEVELOPED  2005 North Carolina, United States by. DONATED  10/24/2012 North Carolina, United States by","","Ames31669","","","","GEMN-0119",1,1,NA,0.78,"GEM","unclassified",NA,NA,NA
"952","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31670",1906030,"",NA,311987,"GEMN-0120","20121024","","","","",NA,"",NA,400,"CHS775:N19-042-003-B-B-B",40,NA,"",":GEMN-0120;USA126:Ames 31670;:CHS775:N19-042-003-B-B-B;:2012 Row: 3081-3090","","10",NA,NA,"","DEVELOPED  2005 North Carolina, United States by Goodman, M., North Carolina State University. DONATED  10/24/2012 North Carolina, United States by Krakowsky, M., USDA, ARS, PSRU","","Ames31670","","","","GEMN-0120",1,1,NA,0.78,"GEM","unclassified",NA,NA,NA
"953","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31671",1906031,"",NA,311987,"GEMN-0124","20121024","","","","",NA,"",NA,400,"DK212T:N11-B-003-001-B-B-B",40,NA,"",":GEMN-0124;USA126:Ames 31671;:DK212T:N11-B-003-001-B-B-B;:2012 Row: 3091-3100","","10",NA,NA,"","DEVELOPED  2005 North Carolina, United States by Goodman, M., North Carolina State University. DONATED  10/24/2012 North Carolina, United States by Krakowsky, M., USDA, ARS, PSRU","","Ames31671","","","","GEMN-0124",1,1,NA,0.75,"GEM","unclassified",NA,NA,NA
"954","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31673",1906033,"",NA,311987,"GEMN-0134","20121024","","","","",NA,"",NA,400,"DKXL380:N11-B-010-017-B-B-B",40,NA,"",":GEMN-0134;USA126:Ames 31673;:DKXL380:N11-B-010-017-B-B-B;:2012 Row: 3111-3120","","10",NA,NA,"","DEVELOPED  2005 North Carolina, United States by Goodman, M., North Carolina State University. DONATED  10/24/2012 North Carolina, United States by Krakowsky, M., USDA, ARS, PSRU","","Ames31673","","","","GEMN-0134",1,1,NA,0.9,"GEM","unclassified",NA,NA,NA
"955","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 31674",1906034,"",NA,311987,"GEMN-0136","20121024","","","","",NA,"",NA,400,"DKXL380:N11-B-007-028-B-B",40,NA,"",":GEMN-0136;USA126:Ames 31674;:DKXL380:N11-B-007-028-B-B;:2012 Row: 3121-3140","","10",NA,NA,"","DEVELOPED  2005 North Carolina, United States by Goodman, M., North Carolina State University. DONATED  10/24/2012 North Carolina, United States by Krakowsky, M., USDA, ARS, PSRU","","Ames31674","","","","GEMN-0136",1,1,NA,0.8,"GEM","unclassified",NA,NA,NA
"956","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","N","USA020","Ames 7871",1041565,"",NA,311987,"F6","19870828","USA","","","",NA,"",NA,400,"",40,NA,"",":F6;USA126:Ames 7871","","10",NA,NA,"","COLLECTED   Florida, United States by. DONATED  08/28/1987  by","","Ames7871","","","","F6",5,4,0.981,0.3,"Other","unclassified",NA,NA,NA
"957","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","N","USA020","Ames 8397",1043529,"",NA,311987,"B73HT","19820507","","","","",NA,"",NA,400,"",40,NA,"",":B73HT;USA126:Ames 8397;:3478-001/10","","10",NA,NA,"CHECK VARIETY","DONATED  05/07/1982 Iowa, United States by Clyde Black Seed Company","","Ames8397","","","","B73HT",1,1,NA,0.56,"Iowa","stiff stalk",NA,NA,NA
"958","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 8399",1043541,"",NA,311987,"W117HT","19820507","","","","",NA,"",NA,400,"",40,NA,"",":W117HT;USA126:Ames 8399;:3258-2/00;:id=47967","USA005","10",NA,NA,"Originally used by the North Central Regional Plant Introduction Station as a check variety.  Later it was replaced by W117 (PI 587153) as a check because W117 was a member of the PVP reference set of inbred lines.  The original lot of seed segregated for a low frequency of off types, therefore starting in 2003 a new lineage was used that derived from Dr. J. Coors at the University of Wisconsin and was donated by Dr. M. Goodman at North Carolina State.","DONATED  05/07/1982 Iowa, United States by Clyde Black Seed Company. DONATED PRE 04/21/2003 Wisconsin, United States by Coors, J., University of Wisconsin. DONATED  04/21/2003 North Carolina, United States by Goodman, M., North Carolina State University","","Ames8399","","","","W117HT",3,2,0.998,0.41,"Wisconsin","unclassified",NA,NA,NA
"959","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 9995",1051226,"",NA,311987,"Ancash 230","19871230","PER","","","",NA,"",NA,300,"",20,NA,"Ancash 230",":Ancash 230;USA126:Ames 9995;:PEZM 02 230","","10",NA,NA,"","COLLECTED   Ancash, Peru by. DONATED  12/30/1987 Lima, Peru by Sevilla, R., Universidad Nacional Agraria, La Molina","","BAIIIIb-6","","","","BAIIIIb-6",1,1,NA,0.6,"Other","unclassified",NA,NA,NA
"960","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 9995",1051226,"",NA,311987,"Ancash 230","19871230","PER","","","",NA,"",NA,300,"",20,NA,"Ancash 230",":Ancash 230;USA126:Ames 9995;:PEZM 02 230","","10",NA,NA,"","COLLECTED   Ancash, Peru by. DONATED  12/30/1987 Lima, Peru by Sevilla, R., Universidad Nacional Agraria, La Molina","","BAIIIId-2","","","","BAIIIId-2",1,1,NA,0.55,"Other","unclassified",NA,NA,NA
"961","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","CIze 91",1002530,"",NA,311987,"CI 91B","19820114","","","","",NA,"",NA,400,"L97 x A71",40,NA,"",":CI 91B;:CIze 91","USA005","10",NA,NA,"Blight resistant.","DEVELOPED   United States by","1960","CIze127","","","","CI127",1,1,NA,0.69,"Other","unclassified",NA,NA,NA
"962","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","CIze 91",1002530,"",NA,311987,"CI 91B","19820114","","","","",NA,"",NA,400,"L97 x A71",40,NA,"",":CI 91B;:CIze 91","USA005","10",NA,NA,"Blight resistant.","DEVELOPED   United States by","1960","CIze21","","","","CI21E",3,2,0.996,0.44,"Other","unclassified",NA,NA,NA
